Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
387,Juancho Hernangómez,26,3TM,PF,40,9,445,4.9,11.7,.415,2.7,7.6,.348,2.2,4.1,.541,.528,2.1,3.8,.559,3.1,8.0,11.1,2.2,1.6,1.1,1.8,2.8,14.5,111,109,,hernaju01
388,Trey Burke,29,DAL,PG,42,0,441,9.6,24.5,.391,3.0,9.4,.317,6.6,15.2,.436,.451,2.3,2.6,.870,0.5,3.3,3.8,6.5,1.4,0.0,3.0,4.5,24.4,97,113,,burketr01
389,Thomas Bryant,24,WAS,C,27,9,439,8.7,16.7,.520,1.4,4.7,.286,7.3,11.9,.613,.561,3.9,4.5,.875,2.9,9.2,12.2,2.6,0.7,2.4,2.1,4.8,22.6,118,113,,bryanth01
390,Elijah Hughes,23,2TM,SG,36,4,434,5.3,16.3,.326,2.8,10.7,.263,2.5,5.5,.449,.413,0.8,1.0,.778,0.7,5.9,6.5,2.5,1.6,0.9,1.9,4.4,14.2,87,116,,hugheel01
391,Joe Harris,30,BRK,SF,14,14,423,6.4,14.2,.452,4.7,10.1,.466,1.7,4.1,.417,.617,0.6,0.7,.833,0.6,5.8,6.4,1.6,0.8,0.2,1.8,3.6,18.1,112,116,,harrijo01
392,Patrick Williams,20,CHI,PF,17,9,422,6.2,11.8,.529,1.7,3.4,.517,4.5,8.4,.534,.603,3.5,4.7,.732,2.0,6.0,8.0,1.7,1.0,1.0,1.9,3.2,17.7,120,115,,willipa01
393,Olivier Sarr,22,OKC,C,22,2,421,6.7,11.7,.574,1.5,3.4,.448,5.2,8.3,.625,.639,2.8,3.4,.828,3.9,6.8,10.8,2.2,0.7,1.7,2.5,6.0,17.7,123,114,,sarrol01
394,Enes Freedom,29,BOS,C,35,1,411,6.2,11.7,.526,0.2,0.6,.400,5.9,11.1,.533,.536,2.9,3.4,.857,7.4,12.0,19.3,1.0,0.6,1.7,2.4,5.1,15.5,121,105,,kanteen01
395,Sandro Mamukelashvili,22,MIL,PF,41,3,407,6.7,13.6,.496,2.6,6.1,.423,4.1,7.4,.556,.591,2.1,2.6,.818,4.1,5.5,9.7,2.6,1.1,1.1,1.8,3.3,18.2,126,114,,mamuksa01
396,Semi Ojeleye,27,2TM,PF,30,0,406,3.6,11.8,.303,1.8,5.9,.300,1.8,5.8,.306,.379,2.7,3.4,.793,3.2,5.6,8.8,1.1,0.8,0.7,1.1,3.6,11.6,101,114,,ojelese01
