Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on 2P,FG% on 0-3,FG% on 3-10,FG% on 10-16,FG% on 16-3P,FG% on 3P,%of 2P assisted,%of 3P assisted,%FGA that were dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Avery Bradley,30,TOT,SG,27,6,602,0.374,0.409,0.158,0.099,0.035,0.117,0.591,0.443,0.741,0.353,0.167,0.2,0.327,0.71,0.939,0,0,0.396,0.375,bradlav01
Onyeka Okongwu,20,ATL,C,50,4,601,0.644,0.98,0.597,0.302,0.06,0.02,0.02,0.658,0.787,0.511,0.222,0.333,0,0.75,0,0.215,32,0.333,0,okongon01
Nemanja Bjelica,32,TOT,PF,37,3,595,0.454,0.566,0.311,0.219,0.015,0.02,0.434,0.559,0.689,0.395,0.333,0.5,0.318,0.645,0.889,0.005,0,0.153,0.385,bjeline01
Nic Claxton,21,BKN,C,32,1,594,0.621,0.966,0.697,0.234,0.021,0.014,0.034,0.636,0.762,0.353,0,0,0.2,0.753,1,0.31,41,0.4,0,claxtni01
Patrick Patterson,31,LAC,PF,38,5,582,0.436,0.321,0.182,0.079,0.042,0.018,0.679,0.604,0.7,0.462,0.571,0.333,0.357,0.656,0.975,0.048,7,0.446,0.34,pattepa01
Justin Jackson,25,TOT,SF,34,3,577,0.403,0.471,0.136,0.213,0.095,0.027,0.529,0.51,0.7,0.468,0.333,0.5,0.308,0.717,0.806,0.005,1,0.162,0.211,jacksju01
John Konchar,24,MEM,SG,43,0,575,0.5,0.594,0.341,0.181,0.058,0.014,0.406,0.585,0.745,0.36,0.25,1,0.375,0.75,1,0.065,8,0.464,0.346,konchjo01
Nicolò Melli,30,TOT,PF,45,4,566,0.326,0.397,0.149,0.099,0.078,0.071,0.603,0.411,0.476,0.214,0.545,0.4,0.271,0.478,1,0.043,5,0.224,0.263,mellini01
Goga Bitadze,21,IND,C,45,3,561,0.428,0.593,0.34,0.191,0.052,0.01,0.407,0.548,0.697,0.297,0.6,0,0.253,0.635,1,0.098,17,0.051,0,bitadgo01
Isaiah Hartenstein,22,TOT,C,46,2,559,0.55,0.965,0.538,0.38,0.035,0.012,0.035,0.558,0.63,0.508,0.167,0,0.333,0.783,1,0.181,28,0,0,harteis01
Gorgui Dieng,31,TOT,C,38,1,552,0.521,0.571,0.252,0.141,0.129,0.049,0.429,0.591,0.78,0.435,0.524,0.25,0.429,0.6,0.967,0.074,11,0.171,0.583,dienggo01
Thanasis Antetokounmpo,28,MIL,SF,57,3,551,0.489,0.788,0.62,0.139,0.015,0.015,0.212,0.556,0.671,0.105,0,0.5,0.241,0.583,0.714,0.255,29,0.31,0.333,antetth01
Damian Jones,25,TOT,C,39,10,547,0.68,0.951,0.631,0.184,0.087,0.049,0.049,0.704,0.769,0.632,0.667,0.2,0.2,0.884,1,0.35,31,0.2,1,jonesda03
Hassan Whiteside,31,SAC,C,36,4,546,0.563,0.996,0.366,0.455,0.138,0.036,0.004,0.565,0.732,0.451,0.484,0.625,0,0.722,0,0.138,28,0,0,whiteha01
Wes Iwundu,26,TOT,SF,41,4,539,0.333,0.598,0.373,0.176,0.02,0.029,0.402,0.475,0.579,0.278,0.5,0.333,0.122,0.828,1,0.088,8,0.512,0.143,iwundwe01
Troy Brown Jr.,21,TOT,SF,34,0,524,0.431,0.514,0.174,0.132,0.063,0.146,0.486,0.541,0.8,0.474,0.444,0.333,0.314,0.6,1,0.021,2,0.357,0.36,browntr01
Armoni Brooks,22,HOU,SG,20,5,520,0.406,0.182,0.099,0.057,0.026,0,0.818,0.514,0.579,0.545,0.2,0,0.382,0.722,0.85,0.016,3,0.153,0.417,brookar01
Miye Oni,23,UTA,SG,54,0,519,0.354,0.111,0.061,0.051,0,0,0.889,0.455,0.5,0.4,0,0,0.341,0.6,1,0.03,2,0.568,0.38,onimi01
Oshae Brissett,22,IND,SF,21,16,519,0.483,0.483,0.325,0.126,0.02,0.013,0.517,0.548,0.735,0.158,0.333,0,0.423,0.725,0.97,0.099,14,0.295,0.522,brissos01
Dylan Windler,24,CLE,SF,31,0,513,0.438,0.408,0.269,0.1,0.038,0,0.592,0.585,0.629,0.538,0.4,0,0.338,0.548,0.962,0.023,3,0.442,0.324,windldy01
Max Strus,24,MIA,SF,39,0,507,0.455,0.209,0.155,0.048,0,0.005,0.791,0.897,0.897,1,0,0,0.338,0.686,0.98,0.027,5,0.25,0.459,strusma01
Justise Winslow,24,MEM,SF,26,1,507,0.352,0.743,0.233,0.262,0.148,0.1,0.257,0.41,0.551,0.455,0.194,0.286,0.185,0.516,1,0.043,9,0.407,0.227,winslju01
Lamar Stevens,23,CLE,PF,40,0,499,0.456,0.816,0.368,0.147,0.243,0.059,0.184,0.523,0.7,0.35,0.394,0.375,0.16,0.655,1,0.125,17,0.32,0.25,stevela01
Jarrett Culver,21,MIN,SG,34,7,499,0.411,0.685,0.405,0.25,0.012,0.018,0.315,0.487,0.603,0.333,0.5,0,0.245,0.589,1,0.101,15,0.283,0.267,culveja01
DaQuan Jeffries,23,TOT,SG,31,5,493,0.417,0.442,0.2,0.167,0.025,0.05,0.558,0.566,0.792,0.35,0,0.667,0.299,0.6,0.95,0.108,10,0.388,0.346,jeffrda01
Chimezie Metu,23,SAC,C,36,6,488,0.508,0.793,0.318,0.212,0.151,0.112,0.207,0.549,0.789,0.368,0.333,0.5,0.351,0.731,0.923,0.19,29,0.081,0.667,metuch01
Javonte Green,27,TOT,SF,41,2,473,0.52,0.706,0.441,0.186,0.078,0,0.294,0.597,0.733,0.368,0.375,0,0.333,0.465,1,0.196,17,0.433,0.462,greenja02
Kevin Knox,21,NYK,SF,42,0,464,0.392,0.378,0.168,0.091,0.035,0.084,0.622,0.389,0.583,0.231,0.2,0.25,0.393,0.81,1,0.049,6,0.472,0.524,knoxke01
Ryan Arcidiacono,26,CHI,PG,44,0,450,0.419,0.427,0.154,0.137,0.085,0.051,0.573,0.48,0.556,0.375,0.7,0.167,0.373,0.542,1,0,0,0.224,0.467,arcidry01
KZ Okpala,21,MIA,PF,37,9,447,0.375,0.479,0.302,0.146,0.01,0.021,0.521,0.522,0.655,0.357,0,0,0.24,0.667,1,0.042,4,0.52,0.269,okpalkz01
Josh Green,20,DAL,SG,39,5,445,0.452,0.731,0.419,0.172,0.054,0.086,0.269,0.559,0.667,0.375,0.6,0.375,0.16,0.658,1,0.118,9,0.76,0.211,greenjo02
Langston Galloway,29,PHX,SG,40,0,438,0.449,0.422,0.054,0.109,0.143,0.116,0.578,0.484,0.5,0.5,0.524,0.412,0.424,0.8,1,0,0,0.494,0.429,gallola01
Tyler Cook,23,TOT,SF,32,1,438,0.67,0.981,0.641,0.33,0.01,0,0.019,0.673,0.758,0.529,0,0,0.5,0.691,1,0.417,40,1,0.5,cookty01
Al-Farouq Aminu,30,TOT,PF,23,14,434,0.384,0.626,0.273,0.242,0.03,0.081,0.374,0.484,0.519,0.417,0,0.75,0.216,0.467,0.875,0.03,3,0.216,0.5,aminual01
D.J. Wilson,24,TOT,PF,35,1,433,0.405,0.482,0.202,0.119,0.083,0.077,0.518,0.469,0.529,0.45,0.429,0.385,0.345,0.763,0.933,0.06,7,0.287,0.36,wilsodj01
Isaac Bonga,21,WAS,SF,40,8,432,0.37,0.42,0.16,0.235,0.025,0,0.58,0.5,0.692,0.421,0,0,0.277,0.529,1,0.012,1,0.617,0.31,bongais01
Dennis Smith Jr.,23,TOT,PG,23,9,420,0.4,0.6,0.228,0.131,0.11,0.131,0.4,0.448,0.545,0.421,0.375,0.368,0.328,0.231,0.526,0.014,2,0.052,0.667,smithde03
Anthony Lamb,23,HOU,SF,24,3,415,0.39,0.398,0.246,0.153,0,0,0.602,0.489,0.586,0.333,0,0,0.324,0.522,1,0.034,4,0.225,0.438,lamban01
Brodric Thomas,24,TOT,SG,32,1,399,0.361,0.454,0.231,0.074,0.019,0.13,0.546,0.469,0.72,0.125,0,0.286,0.271,0.478,0.813,0.056,6,0.22,0.231,thomabr01
Zeke Nnaji,20,DEN,PF,42,1,397,0.481,0.433,0.212,0.135,0.058,0.029,0.567,0.578,0.864,0.214,0.5,0.333,0.407,0.769,0.958,0.058,6,0.407,0.458,nnajize01
Amir Coffey,23,LAC,SG,44,1,394,0.437,0.456,0.214,0.146,0.058,0.039,0.544,0.468,0.682,0.2,0.5,0.25,0.411,0.636,0.87,0.019,2,0.375,0.524,coffeam01
Freddie Gillespie,23,TOR,PF,20,2,392,0.524,1,0.476,0.405,0.119,0,0,0.524,0.675,0.412,0.3,0,0,0.682,0,0.167,12,0,0,gillefr01
E'Twaun Moore,31,PHX,SG,27,1,389,0.455,0.711,0.174,0.314,0.132,0.091,0.289,0.512,0.381,0.474,0.75,0.545,0.314,0.432,0.909,0.008,1,0.2,0.429,mooreet01
Isaiah Joe,21,PHI,SG,41,1,383,0.361,0.203,0.03,0.045,0.053,0.075,0.797,0.333,0.25,0.167,0.429,0.4,0.368,0.556,1,0,0,0.198,0.333,joeis01
Glenn Robinson III,27,SAC,SF,23,2,369,0.424,0.556,0.202,0.253,0.061,0.04,0.444,0.473,0.4,0.64,0.167,0.25,0.364,0.615,1,0.04,2,0.591,0.423,robingl02
Nico Mannion,19,GSW,PG,30,1,364,0.342,0.474,0.114,0.184,0.096,0.079,0.526,0.315,0.769,0.286,0.091,0,0.367,0.353,0.727,0.009,0,0.083,0.6,mannini01
Trey Lyles,25,SAS,PF,23,9,358,0.478,0.556,0.311,0.1,0.111,0.033,0.444,0.58,0.75,0.556,0.3,0,0.35,0.69,1,0.022,2,0.175,0.714,lylestr01
Abdel Nader,27,PHX,SF,24,0,355,0.491,0.629,0.353,0.224,0.043,0.009,0.371,0.534,0.683,0.385,0.2,0,0.419,0.718,1,0.052,6,0.349,0.467,naderab01
Harry Giles,22,POR,C,38,0,348,0.433,0.763,0.392,0.186,0.093,0.093,0.237,0.459,0.605,0.333,0,0.556,0.348,0.412,1,0.113,9,0.174,0.75,gilesha01
Luke Kornet,25,TOT,C,31,2,348,0.436,0.416,0.297,0.099,0.01,0.01,0.584,0.69,0.767,0.5,0,1,0.254,0.724,1,0.129,13,0.186,0.273,kornelu01
Jahlil Okafor,25,DET,C,27,2,347,0.618,0.912,0.52,0.304,0.059,0.029,0.088,0.656,0.717,0.613,0.333,0.667,0.222,0.475,1,0.118,11,0.111,0,okafoja01
Chandler Hutchison,24,TOT,SF,25,1,346,0.379,0.786,0.252,0.437,0.068,0.029,0.214,0.383,0.346,0.422,0.286,0.333,0.364,0.871,1,0.058,4,0.818,0.389,hutchch01
Josh Hall,20,OKC,SF,21,1,336,0.303,0.626,0.152,0.333,0.111,0.03,0.374,0.419,0.6,0.333,0.455,0.333,0.108,0.462,1,0.01,1,0.135,0,halljo01
Mason Jones,22,TOT,SG,32,1,334,0.423,0.463,0.171,0.163,0.057,0.073,0.537,0.491,0.619,0.4,0.571,0.333,0.364,0.5,0.708,0.008,1,0.106,0.571,jonesma05
Shaquille Harrison,27,TOT,SG,34,0,333,0.333,0.795,0.385,0.295,0.051,0.064,0.205,0.371,0.567,0.087,0.25,0.6,0.188,0.304,1,0.026,2,0.563,0.222,harrish01
Matt Thomas,26,TOT,SG,45,0,326,0.394,0.37,0.063,0.063,0.071,0.173,0.63,0.489,0.625,0.25,0.556,0.5,0.338,0.696,0.963,0,0,0.213,0.471,thomama02
Kelan Martin,25,IND,SF,35,0,322,0.449,0.565,0.283,0.138,0.065,0.08,0.435,0.487,0.564,0.368,0.111,0.727,0.4,0.526,0.917,0.029,3,0.233,0.5,martike03
Frank Ntilikina,22,NYK,PG,33,4,322,0.367,0.392,0.038,0.076,0.152,0.127,0.608,0.194,0.667,0.167,0.167,0.1,0.479,0,0.957,0,0,0.354,0.706,ntilila01
Jaylen Hoard,21,OKC,SF,19,0,320,0.5,0.875,0.602,0.227,0.034,0.011,0.125,0.571,0.698,0.25,0.333,1,0,0.636,0,0.091,6,0.545,0,hoardja01
JaKarr Sampson,27,IND,PF,29,4,316,0.496,0.867,0.478,0.327,0.027,0.035,0.133,0.541,0.519,0.541,0.667,0.75,0.2,0.698,1,0.071,6,0.6,0,sampsja02
Justin James,24,SAC,SF,36,0,310,0.468,0.658,0.198,0.297,0.108,0.054,0.342,0.521,0.682,0.424,0.667,0.167,0.368,0.658,1,0.063,5,0.342,0.385,jamesju01
Luka Šamanić,21,SAS,PF,33,4,308,0.448,0.59,0.324,0.21,0.029,0.029,0.41,0.565,0.735,0.364,0,0.667,0.279,0.571,1,0.048,4,0.093,0,samanlu01
Jerome Robinson,23,WAS,SG,17,6,305,0.295,0.558,0.053,0.179,0.179,0.147,0.442,0.321,0.6,0.294,0.235,0.357,0.262,0.529,1,0.011,1,0.262,0.455,robinje01
Trent Forrest,22,UTA,PG,30,0,302,0.451,0.634,0.211,0.296,0.113,0.014,0.366,0.6,0.533,0.524,0.875,1,0.192,0.259,1,0.028,2,0.654,0.235,forretr01
Ed Davis,31,MIN,C,23,7,299,0.432,1,0.727,0.273,0,0,0,0.432,0.469,0.333,0,0,0,0.368,0,0.159,7,0,0,davised01
Paul Watson,26,TOR,SF,27,2,297,0.463,0.22,0.098,0.085,0.037,0,0.78,0.444,0.875,0.143,0,0,0.469,0.375,0.867,0.024,2,0.406,0.5,watsopa01
Romeo Langford,21,BOS,SG,18,4,283,0.356,0.695,0.339,0.186,0.102,0.068,0.305,0.39,0.65,0.273,0,0,0.278,0.375,1,0.051,3,0.444,0.25,langfro01
Vlatko Čančar,23,DEN,PF,41,1,281,0.458,0.542,0.319,0.167,0.042,0.014,0.458,0.615,0.696,0.5,0.333,1,0.273,0.75,1,0.069,4,0.273,0.667,cancavl01
Mfiondu Kabengele,23,TOT,PF,39,0,280,0.371,0.438,0.27,0.09,0.056,0.022,0.562,0.513,0.667,0.375,0.2,0,0.26,0.5,0.923,0.101,9,0.26,0.231,kabenmf01
Nathan Knight,23,ATL,PF,33,0,279,0.37,0.67,0.41,0.21,0.04,0.01,0.33,0.463,0.561,0.381,0,0,0.182,0.774,1,0.18,15,0.515,0.176,knighna01
Carsen Edwards,22,BOS,SG,31,1,276,0.423,0.432,0.216,0.072,0.018,0.126,0.568,0.604,0.792,0.375,0.5,0.429,0.286,0.586,0.667,0.009,1,0.27,0.235,edwarca01
Jordan Nwora,22,MIL,SF,30,2,274,0.459,0.541,0.193,0.133,0.096,0.119,0.459,0.466,0.577,0.389,0.308,0.5,0.452,0.441,0.643,0.022,1,0.194,0.417,nworajo01
Boban Marjanović,32,DAL,C,33,3,271,0.508,0.934,0.443,0.352,0.098,0.041,0.066,0.535,0.741,0.349,0.333,0.4,0.125,0.607,1,0.156,17,0,0,marjabo01
Thomas Bryant,23,WAS,C,10,10,271,0.648,0.769,0.374,0.231,0.088,0.077,0.231,0.714,0.912,0.762,0.375,0,0.429,0.72,1,0.286,24,0.048,1,bryanth01
Tre Jones,21,SAS,PG,37,1,269,0.474,0.936,0.397,0.333,0.192,0.013,0.064,0.466,0.742,0.231,0.333,0,0.6,0.412,0.333,0.026,2,0.4,0.5,jonestr01
Skylar Mays,23,ATL,SG,33,0,269,0.449,0.592,0.408,0.061,0.051,0.071,0.408,0.517,0.55,0.5,0.4,0.429,0.35,0.4,0.929,0.051,4,0.25,0.5,mayssk01
Alfonzo McKinnie,28,LAL,SF,39,0,258,0.516,0.581,0.323,0.151,0.043,0.065,0.419,0.593,0.7,0.429,0.5,0.5,0.41,0.594,0.938,0.097,8,0.333,0.462,mckinal01
Jaren Jackson Jr.,21,MEM,C,11,4,258,0.424,0.52,0.192,0.28,0.04,0.008,0.48,0.554,0.708,0.486,0.4,0,0.283,0.667,1,0.104,11,0.267,0.25,jacksja02
Ignas Brazdeikis,22,TOT,SF,13,0,249,0.422,0.663,0.289,0.229,0.048,0.096,0.337,0.436,0.542,0.421,0,0.375,0.393,0.542,0.909,0,0,0.25,0.286,brazdig01
Justin Patton,23,HOU,C,13,6,247,0.414,0.514,0.243,0.171,0.043,0.057,0.486,0.556,0.706,0.333,0.667,0.5,0.265,0.7,1,0.114,7,0.5,0.176,pattoju01
Keita Bates-Diop,25,SAS,SF,30,0,245,0.448,0.746,0.388,0.284,0.045,0.03,0.254,0.5,0.808,0.158,0.333,0,0.294,0.64,1,0.03,2,0.529,0.222,bateske01
Wenyen Gabriel,23,NOP,PF,21,0,241,0.4,0.467,0.35,0.083,0.033,0,0.533,0.393,0.429,0.2,0.5,0,0.406,0.364,1,0.067,2,0.313,0.5,gabriwe01
Tremont Waters,23,BOS,PG,26,3,238,0.405,0.548,0.131,0.262,0.083,0.071,0.452,0.413,0.636,0.364,0.429,0.167,0.395,0.053,0.333,0,0,0.132,0.4,watertr01
Mike James,30,BKN,PG,13,1,236,0.37,0.663,0.13,0.272,0.152,0.109,0.337,0.377,0.167,0.48,0.357,0.4,0.355,0.174,0.455,0.022,1,0.226,0.571,jamesmi02
Kyle Guy,23,SAC,PG,31,0,235,0.33,0.477,0.159,0.193,0.068,0.057,0.523,0.381,0.5,0.176,0.5,0.6,0.283,0.563,0.923,0.011,0,0.37,0.294,guyky01
Sam Merrill,24,MIL,SG,30,2,233,0.444,0.347,0.139,0.083,0.056,0.069,0.653,0.44,0.5,0,0.75,0.6,0.447,0.545,0.81,0.028,2,0.085,0.75,merrisa01
Chris Chiozza,25,BKN,PG,22,1,232,0.352,0.523,0.193,0.159,0.08,0.091,0.477,0.391,0.529,0.286,0.286,0.375,0.31,0.389,0.462,0,0,0.024,0,chiozch01
Bruno Fernando,22,ATL,C,33,0,226,0.409,0.955,0.659,0.182,0.068,0.045,0.045,0.429,0.586,0,0.333,0,0,0.833,0,0.205,6,0.5,0,fernabr01
Matthew Dellavedova,30,CLE,PG,13,1,224,0.25,0.554,0.161,0.321,0.071,0,0.446,0.323,0.222,0.389,0.25,0,0.16,0.4,0.75,0,0,0.16,0,dellama01
Anthony Gill,28,WAS,PF,26,4,218,0.5,0.6,0.267,0.317,0,0.017,0.4,0.639,0.813,0.526,0,0,0.292,0.783,0.857,0.05,2,0.375,0.111,gillan01
Sindarius Thornwell,26,TOT,SG,21,1,217,0.326,0.5,0.13,0.261,0.087,0.022,0.5,0.348,0.667,0.25,0.25,0,0.304,0.5,1,0.043,2,0.391,0.556,thornsi01
Markelle Fultz,22,ORL,PG,8,8,215,0.394,0.846,0.163,0.365,0.135,0.183,0.154,0.42,0.706,0.447,0.286,0.211,0.25,0.081,0.5,0.029,1,0.125,0,fultzma01
Gabriel Deck,25,OKC,PF,10,0,212,0.478,0.776,0.284,0.269,0.104,0.119,0.224,0.577,0.632,0.5,0.429,0.75,0.133,0.4,1,0.015,1,0.467,0.143,deckga01
Reggie Perry,20,BKN,PF,26,0,211,0.41,0.731,0.551,0.141,0.026,0.013,0.269,0.491,0.628,0,0.5,0,0.19,0.643,1,0.09,7,0.19,0,perryre01
Dewayne Dedmon,31,MIA,C,16,0,210,0.708,0.923,0.615,0.231,0.031,0.046,0.077,0.75,0.85,0.533,1,0.333,0.2,0.689,1,0.169,10,0.2,0,dedmode01
Markus Howard,21,DEN,SG,37,1,205,0.377,0.387,0.123,0.085,0.094,0.085,0.613,0.537,0.615,0.444,0.6,0.444,0.277,0.409,0.778,0,0,0.092,0.5,howarma02
Darius Miller,30,OKC,SF,18,0,197,0.458,0.125,0,0.021,0.042,0.063,0.875,0.833,0,0,1,1,0.405,0.6,0.765,0,0,0.167,0.429,milleda01
Jordan Bone,23,ORL,PG,14,0,196,0.426,0.407,0.019,0.093,0.019,0.278,0.593,0.591,1,1,0,0.467,0.313,0.154,0.5,0,0,0.313,0,bonejo01
Rodney McGruder,29,DET,SG,16,2,194,0.529,0.657,0.257,0.286,0.086,0.029,0.343,0.565,0.722,0.55,0.167,0.5,0.458,0.462,1,0,0,0.542,0.385,mcgruro01
CJ Elleby,20,POR,SF,30,0,192,0.379,0.485,0.242,0.091,0.076,0.076,0.515,0.563,0.75,0,0.6,0.6,0.206,0.444,0.714,0.045,3,0.176,0.5,ellebcj01
Alize Johnson,24,BKN,PF,18,0,189,0.588,0.912,0.397,0.412,0.103,0,0.088,0.629,0.815,0.429,0.714,0,0.167,0.615,1,0.015,1,0.333,0,johnsal02
Killian Tillie,22,MEM,C,18,1,182,0.333,0.421,0.123,0.246,0.035,0.018,0.579,0.375,0.429,0.286,1,0,0.303,0.889,1,0,0,0.303,0.1,tilliki02
Donta Hall,23,ORL,PF,13,0,179,0.714,1,0.686,0.229,0.057,0.029,0,0.714,0.833,0.375,1,0,0,0.72,0,0.457,14,0,0,halldo01
Paul Reed,21,PHI,PF,26,0,177,0.538,0.923,0.551,0.244,0.051,0.077,0.077,0.583,0.721,0.316,0.5,0.5,0,0.667,0,0.205,14,0.333,0,reedpa01
Jalen Harris,22,TOR,SG,13,2,172,0.5,0.5,0.236,0.194,0,0.069,0.5,0.528,0.706,0.357,0,0.4,0.472,0.263,0.882,0.028,2,0.306,0.636,harrija01
Jabari Parker,25,TOT,PF,13,0,165,0.545,0.8,0.309,0.218,0.109,0.164,0.2,0.636,0.941,0.5,0.333,0.444,0.182,0.643,1,0.182,10,0.182,0,parkeja01
Daniel Oturu,21,LAC,C,30,0,161,0.423,0.904,0.462,0.269,0.096,0.077,0.096,0.447,0.583,0.214,0.6,0.25,0.2,0.381,1,0.115,5,0.2,0,oturuda01
Bol Bol,21,DEN,PF,32,2,160,0.431,0.586,0.172,0.172,0.121,0.121,0.414,0.471,0.9,0.3,0.286,0.286,0.375,0.625,0.667,0.086,5,0.125,0.333,bolbo01
Sean McDermott,24,MEM,SF,18,0,158,0.394,0.333,0.242,0.03,0.061,0,0.667,0.727,0.75,1,0.5,0,0.227,0.25,1,0.121,4,0.364,0.25,mcderse01
Quinn Cook,27,TOT,PG,23,0,157,0.426,0.618,0.235,0.103,0.088,0.191,0.382,0.429,0.375,0.571,0.5,0.385,0.423,0.333,0.455,0,0,0.308,0.25,cookqu01
Jalen Smith,20,PHX,PF,27,1,156,0.44,0.66,0.42,0.12,0.12,0,0.34,0.545,0.667,0.5,0.167,0,0.235,0.778,1,0.16,8,0.353,0.5,smithja04
Khyri Thomas,24,HOU,SG,5,2,153,0.485,0.591,0.273,0.121,0.061,0.136,0.409,0.59,0.833,0.375,0.5,0.333,0.333,0.522,0.667,0.03,2,0.259,0.286,thomakh01
Charlie Brown Jr.,23,OKC,SG,9,1,152,0.302,0.512,0.116,0.186,0.093,0.116,0.488,0.364,0.6,0.25,0.25,0.4,0.238,0.75,1,0.047,1,0.333,0.286,brownch02
Ersan İlyasova,33,UTA,PF,17,1,148,0.389,0.241,0.093,0.019,0.056,0.074,0.759,0.231,0.4,0,0,0.25,0.439,0.667,1,0.019,0,0.22,0.222,ilyaser01
Juwan Morgan,23,UTA,PF,29,0,147,0.467,0.567,0.433,0.1,0.033,0,0.433,0.588,0.692,0.333,0,0,0.308,0.7,1,0.067,2,0.231,0.333,morgaju01
Mamadi Diakite,24,MIL,PF,14,1,141,0.4,0.8,0.375,0.175,0.125,0.125,0.2,0.469,0.667,0.286,0.2,0.4,0.125,0.667,1,0.175,5,0.25,0,diakima01
Jarrell Brantley,24,UTA,PF,28,0,138,0.481,0.462,0.212,0.212,0.019,0.019,0.538,0.542,0.818,0.364,0,0,0.429,0.308,0.917,0.038,2,0.536,0.467,brantja01
Tacko Fall,25,BOS,C,19,0,136,0.724,1,0.621,0.345,0,0.034,0,0.724,0.722,0.7,0,1,0,0.619,0,0.448,12,0,0,fallta01
Yogi Ferrell,27,TOT,PG,10,0,136,0.351,0.509,0.105,0.088,0.228,0.088,0.491,0.379,0.5,0.4,0.385,0.2,0.321,0.182,0.667,0,0,0,0,ferreyo01
Deividas Sirvydis,20,DET,SG,20,0,133,0.35,0.3,0.175,0.075,0.025,0.025,0.7,0.333,0.571,0,0,0,0.357,1,0.7,0,0,0.393,0.273,sirvyde01
Rodions Kurucs,22,TOT,PF,21,0,125,0.344,0.344,0.25,0.031,0.031,0.031,0.656,0.455,0.625,0,0,0,0.286,0.8,1,0.094,2,0.238,0.4,kurucro01
Dakota Mathias,25,PHI,SG,8,2,123,0.396,0.458,0.042,0.042,0.104,0.271,0.542,0.5,0.5,0.5,0.6,0.462,0.308,0.545,0.875,0,0,0.269,0.429,mathida01
Quinndary Weatherspoon,24,SAS,SG,20,0,121,0.457,0.829,0.486,0.114,0.057,0.171,0.171,0.517,0.706,0.25,0.5,0.167,0.167,0.4,1,0.057,2,0,0,weathqu01
T.J. Warren,27,IND,SF,4,4,117,0.529,0.863,0.333,0.137,0.196,0.196,0.137,0.614,0.824,0.714,0.3,0.5,0,0.593,0,0.039,2,0.429,0,warretj01
Danté Exum,25,CLE,SG,6,3,116,0.385,0.577,0.269,0.231,0.077,0,0.423,0.533,0.857,0.333,0,0,0.182,0.625,1,0.077,2,0.182,0.5,exumda01
Vernon Carey Jr.,19,CHA,C,19,4,115,0.5,0.806,0.361,0.194,0.083,0.167,0.194,0.586,0.692,0.429,0.667,0.5,0.143,0.706,1,0.056,2,0.429,0,careyve01
Rondae Hollis-Jefferson,26,POR,PF,11,1,107,0.5,0.944,0.556,0.333,0.056,0,0.056,0.529,0.5,0.5,1,0,0,0.444,0,0.056,1,1,0,holliro01
Robert Franks,24,ORL,PF,7,0,101,0.464,0.464,0.214,0.143,0.036,0.071,0.536,0.615,1,0.5,0,0,0.333,0.25,1,0,0,0.2,0.333,frankro01
Anthony Tolliver,35,PHI,PF,11,0,99,0.235,0.176,0.059,0.059,0,0.059,0.824,0,0,0,0,0,0.286,0,1,0,0,0.214,0.667,tollian01
Cassius Winston,22,WAS,PG,22,0,98,0.424,0.485,0.061,0.121,0.121,0.182,0.515,0.375,0.5,0.25,0.75,0.167,0.471,0.167,0.875,0,0,0.118,0.5,winstca01
Devontae Cacok,24,LAL,PF,20,1,98,0.586,1,0.586,0.379,0.034,0,0,0.586,0.706,0.455,0,0,0,0.706,0,0.31,7,0,0,cacokde01
Jahmi'us Ramsey,19,SAC,SG,13,0,94,0.395,0.5,0.289,0.079,0.105,0.026,0.5,0.526,0.818,0,0.25,0,0.263,0.7,1,0.053,2,0.263,0.4,ramseja01
Cassius Stanley,21,IND,SG,24,0,93,0.302,0.698,0.419,0.233,0.047,0,0.302,0.333,0.444,0.2,0,0,0.231,0.6,1,0.116,3,0.154,0.5,stanlca01
Nate Hinton,21,DAL,SG,21,0,93,0.357,0.548,0.143,0.119,0.071,0.214,0.452,0.478,0.5,0.2,0.667,0.556,0.211,0.182,0.75,0.024,1,0.158,0.667,hintona01
Chris Silva,24,TOT,PF,15,0,92,0.625,0.938,0.5,0.25,0.125,0.063,0.063,0.6,0.75,0.5,0.5,0,1,0.778,1,0.25,4,0,0,silvach01
Karim Mané,20,ORL,PG,10,0,88,0.231,0.846,0.385,0.385,0.077,0,0.154,0.182,0.4,0,0,0,0.5,0,1,0.077,0,0,0,maneka01
Justin Robinson,23,OKC,PG,9,0,88,0.333,0.333,0.143,0.048,0.048,0.095,0.667,0.429,0.667,1,0,0,0.286,0.333,1,0,0,0.143,0,robinju01
Cameron Oliver,24,HOU,SF,4,0,87,0.576,0.606,0.394,0.121,0.091,0,0.394,0.75,0.769,0.75,0.667,0,0.308,0.867,1,0.152,5,0,0,oliveca01
Louis King,21,SAC,SF,6,1,85,0.5,0.676,0.206,0.235,0.235,0,0.324,0.565,0.857,0.625,0.25,0,0.364,0.385,0.75,0.059,2,0.364,0,kinglo02
Cristiano Felício,28,CHI,C,18,0,84,0.538,0.846,0.692,0.077,0,0.077,0.154,0.636,0.778,0,0,0,0,0.429,0,0.077,1,0,0,feliccr01
