Player,Age,Team,Pos,G,GS,MP,+/- Per 100 PossOnCourt,+/- Per 100 PossOn-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
George Hill,34,TOT,PG,30,17,672,0.1,3.9,17,11,12,0,20,8,176,7,12,hillge01
Killian Hayes,19,DET,PG,26,18,670,-9,-5.6,51,20,24,2,5,5,333,1,12,hayeski01
Aaron Nesmith,21,BOS,SF,46,1,669,-0.3,-1.5,10,7,48,1,9,6,54,1,12,nesmiaa01
Gabe Vincent,24,MIA,PG,50,7,655,-4.8,-5.9,17,8,33,5,10,17,159,3,14,vincega01
Gary Clark,26,TOT,SF,39,11,654,-8.4,0.4,13,0,26,0,4,4,76,2,5,clarkga01
Mike Muscala,29,OKC,C,35,0,645,-1,12.1,10,6,37,2,14,3,67,6,6,muscami01
Nassir Little,20,POR,PF,48,2,640,-2.8,-5.8,5,8,31,2,21,2,61,6,8,littlna01
Jake Layman,26,MIN,SF,45,11,627,-7.6,-2.7,11,8,22,5,22,5,66,7,16,laymaja01
Kevin Love,32,CLE,PF,25,25,622,-5,4.1,26,11,14,0,19,1,146,4,12,loveke01
Brandon Goodwin,25,ATL,PG,47,5,620,-2.8,-6.5,18,11,13,5,13,3,229,3,19,goodwbr01
Otto Porter Jr.,27,TOT,SF,28,6,606,-2.8,-1.7,15,5,20,3,14,1,129,5,5,porteot01
Avery Bradley,30,TOT,SG,27,6,602,-9.9,-5.3,19,6,21,2,6,3,110,1,9,bradlav01
Onyeka Okongwu,20,ATL,C,50,4,601,-5.7,-10,6,7,63,14,28,2,47,7,15,okongon01
Nemanja Bjelica,32,TOT,PF,37,3,595,-6.5,-4.4,11,10,25,8,19,0,169,5,10,bjeline01
Nic Claxton,21,BKN,C,32,1,594,13.6,10.4,6,7,39,4,37,3,68,10,11,claxtni01
Patrick Patterson,31,LAC,PF,38,5,582,1.6,-6,4,2,22,3,7,3,74,1,6,pattepa01
Justin Jackson,25,TOT,SF,34,3,577,-4.1,6.8,19,7,14,4,15,7,131,3,6,jacksju01
John Konchar,24,MEM,SG,43,0,575,1.5,0.2,13,3,25,2,10,2,123,0,12,konchjo01
Nicolò Melli,30,TOT,PF,45,4,566,2.6,1.6,4,3,36,2,8,1,112,2,7,mellini01
Goga Bitadze,21,IND,C,45,3,561,-1.1,-1.3,5,1,58,5,28,0,85,4,15,bitadgo01
