Rack,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
362,Jaxson Hayes,22,NOP,C,47,2,13.0,1.8,3.3,.551,0.1,0.6,.103,1.8,2.7,.654,.561,1.2,1.8,.699,0.8,2.0,2.8,0.7,0.4,0.4,0.7,1.4,5.0,,hayesja02
363,Jonathan Isaac,25,ORL,PF,11,0,11.3,2.0,4.8,.415,0.5,1.4,.400,1.5,3.5,.421,.472,0.5,0.8,.556,1.4,2.6,4.0,0.5,1.3,0.4,0.4,0.5,5.0,,isaacjo01
364,Derrick Jones Jr.,25,CHI,PF,64,0,14.0,1.8,3.6,.500,0.4,1.3,.338,1.4,2.3,.587,.559,1.0,1.3,.738,0.9,1.5,2.4,0.5,0.5,0.6,0.4,1.3,5.0,,jonesde02
365,Kenneth Lofton Jr.,20,MEM,PF,24,1,7.3,2.0,3.9,.527,0.3,0.7,.353,1.8,3.2,.566,.559,0.7,1.1,.593,0.8,1.3,2.1,0.8,0.2,0.1,0.5,1.2,5.0,,loftoke01
366,Cody Martin,27,CHO,SF,7,0,19.1,2.0,5.1,.389,0.4,2.0,.214,1.6,3.1,.500,.431,0.6,1.0,.571,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5.0,,martico01
367,Sam Merrill,26,CLE,SG,5,0,11.8,1.8,4.4,.409,1.0,3.6,.278,0.8,0.8,1.000,.523,0.4,0.4,1.000,0.0,1.8,1.8,1.0,0.8,0.0,0.0,0.6,5.0,,merrisa01
368,Blake Wesley,19,SAS,SG,37,1,18.1,1.9,5.8,.321,0.5,1.4,.385,1.3,4.4,.301,.367,0.7,1.2,.591,0.3,1.9,2.2,2.6,0.7,0.1,1.8,1.8,5.0,,weslebl01
369,Ousmane Dieng,19,OKC,PF,39,1,14.6,1.9,4.6,.420,0.7,2.5,.265,1.3,2.1,.602,.492,0.4,0.6,.652,0.5,2.2,2.7,1.2,0.4,0.2,0.7,1.1,4.9,,diengou01
370,Chimezie Metu,25,SAC,PF,66,0,10.4,2.0,3.3,.589,0.1,0.6,.237,1.8,2.7,.663,.610,0.8,1.1,.740,0.7,2.3,3.0,0.6,0.3,0.3,0.5,1.2,4.9,,metuch01
371,Austin Rivers,30,MIN,SG,52,10,19.5,1.8,4.0,.435,0.8,2.4,.350,0.9,1.7,.558,.538,0.6,0.8,.769,0.1,1.5,1.6,1.4,0.5,0.1,0.4,1.5,4.9,,riverau01
372,Danuel House Jr.,29,PHI,SF,56,5,14.4,1.7,3.5,.472,0.7,2.0,.336,1.0,1.6,.644,.566,0.8,1.1,.750,0.2,1.5,1.7,0.8,0.3,0.2,0.5,1.2,4.8,,houseda01
373,Johnny Juzang,21,UTA,SG,18,0,12.9,1.9,5.8,.337,0.8,3.5,.238,1.1,2.3,.488,.409,0.1,0.2,.500,0.4,1.7,2.2,0.4,0.2,0.2,0.2,0.7,4.8,,juzanjo01
374,Meyers Leonard,30,MIL,C,9,2,12.7,1.6,3.2,.483,0.8,2.0,.389,0.8,1.2,.636,.603,0.9,1.0,.889,1.3,2.4,3.8,0.1,0.2,0.0,0.7,1.8,4.8,,leoname01
375,Garrison Mathews,26,2TM,SG,54,0,12.7,1.4,3.7,.363,1.2,3.3,.350,0.2,0.4,.476,.520,0.9,1.0,.906,0.2,1.1,1.4,0.5,0.4,0.1,0.4,1.1,4.8,,mathega01
376,Moses Moody,20,GSW,SG,63,3,13.0,1.7,3.6,.476,0.8,2.1,.363,0.9,1.5,.641,.584,0.6,0.8,.698,0.4,1.2,1.7,0.8,0.3,0.1,0.5,0.9,4.8,,moodymo01
377,Christian Braun,21,DEN,SG,76,6,15.5,1.9,3.8,.495,0.4,1.3,.354,1.4,2.5,.565,.554,0.5,0.8,.625,0.6,1.8,2.4,0.8,0.5,0.2,0.5,1.3,4.7,,braunch01
378,Keon Johnson,20,POR,SG,40,0,10.4,1.7,4.5,.376,0.7,2.0,.346,1.0,2.4,.402,.455,0.7,1.0,.659,0.3,0.8,1.1,1.5,0.5,0.2,1.1,1.1,4.7,,johnske07
379,Chuma Okeke,24,ORL,SF,27,8,19.2,1.6,4.5,.352,1.0,3.2,.302,0.6,1.3,.472,.459,0.6,0.8,.762,1.0,2.6,3.6,1.4,0.7,0.4,0.6,1.5,4.7,,okekech01
380,Day'Ron Sharpe,21,BRK,C,48,3,11.5,1.9,3.6,.544,0.1,0.2,.545,1.8,3.3,.544,.561,0.7,1.1,.636,2.1,2.1,4.2,0.8,0.3,0.7,0.9,1.9,4.7,,sharpda01
381,Dean Wade,26,CLE,PF,44,13,20.3,1.7,4.0,.412,1.0,2.9,.354,0.6,1.1,.560,.540,0.3,0.5,.652,0.5,3.0,3.4,0.8,0.6,0.5,0.4,2.0,4.7,,wadede01
382,TyTy Washington Jr.,21,HOU,PG,31,2,14.0,1.9,5.2,.363,0.6,2.6,.238,1.3,2.6,.488,.422,0.3,0.6,.556,0.1,1.4,1.5,1.5,0.5,0.1,0.5,0.9,4.7,,washity02
383,Gary Payton II,30,2TM,SG,22,1,16.7,1.9,3.1,.594,0.6,1.2,.500,1.3,2.0,.651,.688,0.3,0.3,.857,1.1,2.0,3.1,1.4,1.0,0.2,0.7,2.0,4.6,,paytoga02
384,Dalano Banton,23,TOR,PG,31,2,9.0,1.8,4.2,.423,0.5,1.6,.294,1.3,2.5,.506,.481,0.5,0.8,.708,0.4,1.1,1.5,1.2,0.4,0.4,0.6,1.1,4.6,,bantoda01
385,Dāvis Bertāns,30,DAL,PF,45,1,10.9,1.5,3.6,.431,1.2,3.1,.390,0.3,0.4,.737,.603,0.3,0.3,.867,0.2,1.0,1.2,0.5,0.2,0.2,0.2,1.2,4.6,,bertada01
386,Malachi Flynn,24,TOR,PG,53,2,13.0,1.6,4.6,.360,0.9,2.5,.353,0.8,2.1,.367,.457,0.5,0.6,.758,0.3,1.2,1.4,1.3,0.4,0.1,0.5,1.2,4.6,,flynnma01
387,Kira Lewis Jr.,21,NOP,PG,25,0,9.4,1.6,3.5,.455,0.6,1.4,.441,1.0,2.2,.463,.540,0.8,0.9,.864,0.2,1.1,1.3,0.9,0.4,0.1,0.4,1.0,4.6,,lewiski01
388,Justin Holiday,33,2TM,SF,46,2,15.3,1.7,4.4,.377,1.0,3.1,.322,0.7,1.3,.508,.490,0.1,0.2,.625,0.1,1.1,1.2,0.9,0.4,0.4,0.5,1.5,4.5,,holidju01
389,Goga Bitadze,23,2TM,C,38,1,12.0,1.8,3.3,.552,0.2,0.7,.231,1.7,2.6,.636,.576,0.6,1.1,.548,1.6,2.0,3.6,1.0,0.4,0.7,0.6,1.7,4.4,,bitadgo01
390,Jarrett Culver,23,ATL,SF,10,1,13.7,1.7,4.3,.395,0.1,1.2,.083,1.6,3.1,.516,.407,0.9,1.3,.692,1.0,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4,,culveja01
391,A.J. Green,23,MIL,SG,35,1,9.9,1.5,3.6,.424,1.3,3.0,.419,0.3,0.6,.450,.600,0.1,0.1,1.000,0.2,1.1,1.3,0.6,0.2,0.0,0.3,0.9,4.4,,greenaj01
392,Haywood Highsmith,26,MIA,PF,54,11,17.9,1.7,4.0,.431,0.7,2.0,.339,1.0,2.0,.523,.516,0.2,0.5,.464,1.1,2.4,3.5,0.8,0.7,0.3,0.8,1.5,4.4,,highsha01
393,JaVale McGee,35,DAL,C,42,7,8.5,1.9,3.0,.640,0.0,0.1,.400,1.9,2.9,.650,.648,0.6,1.0,.585,0.7,1.8,2.5,0.3,0.1,0.6,0.9,1.3,4.4,,mcgeeja01
394,Thaddeus Young,34,TOR,PF,54,9,14.7,2.0,3.7,.545,0.1,0.6,.176,1.9,3.0,.622,.561,0.3,0.5,.692,1.3,1.8,3.1,1.4,1.0,0.1,0.8,1.6,4.4,,youngth01
395,Omer Yurtseven,24,MIA,C,9,0,9.2,1.8,3.0,.593,0.3,0.8,.429,1.4,2.2,.650,.648,0.6,0.7,.833,0.9,1.7,2.6,0.2,0.2,0.2,0.4,1.8,4.4,,yurtsom01
396,Moses Brown,23,2TM,C,36,1,8.2,1.7,2.7,.635,0.0,0.0,,1.7,2.7,.635,.635,0.9,2.0,.458,1.6,2.3,3.9,0.1,0.1,0.4,0.4,1.1,4.3,,brownmo01
397,Bismack Biyombo,30,PHO,C,61,14,14.3,2.0,3.4,.578,0.0,0.0,,2.0,3.4,.578,.578,0.4,1.1,.357,1.5,2.8,4.3,0.9,0.3,1.4,0.8,1.9,4.3,,biyombi01
398,Michael Carter-Williams,31,ORL,PG,4,0,11.0,1.5,3.5,.429,0.3,0.8,.333,1.3,2.8,.455,.464,1.0,1.8,.571,0.3,1.0,1.3,1.8,0.3,0.3,1.0,1.3,4.3,,cartemi01
399,Justin Minaya,23,POR,SF,4,0,22.3,1.8,5.8,.304,0.8,3.0,.250,1.0,2.8,.364,.370,0.0,0.3,.000,0.8,3.0,3.8,1.0,0.5,1.3,1.0,2.3,4.3,,minayju01
400,Xavier Sneed,25,CHO,SF,4,0,12.0,1.3,2.5,.500,0.8,1.5,.500,0.5,1.0,.500,.650,1.0,1.0,1.000,0.0,1.3,1.3,1.3,0.0,0.3,0.8,1.8,4.3,,sneedxa01
