Player,Age,Team,Pos,G,GS,MP,FG%,%FGA from 2P,%FGA from 0-3,%FGA from 3-10,%FGA from 10-16,%FGA from 16-3P,%FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA form the corner,3P% from the corner,playerID
Rudy Gobert,31,MIN,C,76,76,2593,0.661,0.995,0.757,0.195,0.029,0.013,0.005,0.664,0.755,0.4,0.222,0.375,0,0.685,0,0.441,248,0,0,goberru01
Keegan Murray,23,SAC,SF,77,77,2588,0.454,0.476,0.139,0.149,0.112,0.076,0.524,0.56,0.728,0.559,0.477,0.378,0.358,0.746,0.978,0.084,72,0.252,0.326,murrake02
Miles Bridges,25,CHA,SF,69,67,2581,0.462,0.628,0.283,0.207,0.058,0.081,0.372,0.529,0.696,0.424,0.343,0.347,0.349,0.555,0.879,0.058,66,0.196,0.341,bridgmi02
Damian Lillard,33,MIL,PG,73,73,2579,0.424,0.513,0.194,0.147,0.078,0.094,0.487,0.49,0.677,0.314,0.404,0.45,0.354,0.196,0.509,0.01,8,0.058,0.278,lillada01
Giannis Antetokounmpo,29,MIL,PF,73,73,2567,0.611,0.909,0.519,0.251,0.068,0.072,0.091,0.645,0.818,0.452,0.323,0.374,0.274,0.509,0.5,0.193,251,0.024,0,antetgi01
Michael Porter Jr.,25,DEN,SF,81,81,2565,0.484,0.487,0.179,0.092,0.08,0.136,0.513,0.575,0.725,0.414,0.477,0.544,0.397,0.758,0.964,0.055,49,0.211,0.436,portemi01
Shai Gilgeous-Alexander,25,OKC,PG,75,75,2553,0.535,0.819,0.252,0.224,0.26,0.083,0.181,0.576,0.731,0.492,0.53,0.472,0.353,0.223,0.368,0.027,37,0.059,0.5,gilgesh01
Grayson Allen,28,PHX,SG,75,74,2513,0.499,0.348,0.192,0.13,0.023,0.001,0.652,0.57,0.687,0.438,0.375,0,0.461,0.57,0.912,0.031,17,0.294,0.473,allengr01
LeBron James,39,LAL,PF,71,71,2504,0.54,0.714,0.345,0.217,0.078,0.073,0.286,0.592,0.772,0.482,0.313,0.366,0.41,0.435,0.685,0.071,84,0.096,0.457,jamesle01
Paul George,33,LAC,PF,74,74,2502,0.471,0.524,0.128,0.125,0.122,0.15,0.476,0.523,0.703,0.448,0.523,0.432,0.413,0.448,0.733,0.032,29,0.138,0.457,georgpa01
Dennis Schröder,30,TOT,PG,80,58,2486,0.435,0.603,0.193,0.173,0.148,0.09,0.397,0.474,0.609,0.375,0.445,0.422,0.375,0.332,0.812,0,0,0.168,0.387,schrode01
D'Angelo Russell,27,LAL,PG,76,69,2484,0.456,0.495,0.109,0.205,0.115,0.067,0.505,0.497,0.788,0.403,0.46,0.375,0.415,0.383,0.735,0.001,1,0.127,0.406,russeda01
James Harden,34,LAC,PG,72,72,2470,0.428,0.406,0.144,0.137,0.099,0.027,0.594,0.497,0.703,0.345,0.457,0.318,0.381,0.157,0.462,0.002,2,0.076,0.378,hardeja01
Devin Booker,27,PHX,PG,68,68,2447,0.492,0.68,0.14,0.158,0.231,0.151,0.32,0.552,0.76,0.447,0.551,0.472,0.364,0.373,0.612,0.013,14,0.074,0.452,bookede01
Jarrett Allen,25,CLE,C,77,77,2442,0.634,0.993,0.554,0.338,0.081,0.02,0.007,0.638,0.738,0.531,0.5,0.25,0,0.823,0,0.243,170,0.333,0,allenja01
