Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Matt Ryan,26,NOP,SF,28,1,390,1.6,-3.4,8,4,17,2,5,1,42,2,1,ryanma01
Justin Minaya,24,POR,SF,34,1,381,-9.8,-0.4,3,2,18,1,3,4,50,1,5,minayju01
Johnny Juzang,22,UTA,SG,20,5,372,-2.6,2.5,5,4,17,2,7,2,55,1,4,juzanjo01
Noah Clowney,19,BKN,PF,23,4,370,-6,-3.4,5,7,15,2,13,1,46,4,8,clownno01
Tosan Evbuomwan,22,TOT,SF,17,8,367,-16.1,-8,5,2,17,1,13,2,41,1,5,evbuoto01
Ousmane Dieng,20,OKC,PF,33,0,365,1.2,-7.4,9,9,13,1,8,1,93,2,3,diengou01
Jontay Porter,24,TOR,PF,26,5,360,-9.4,-3.2,16,2,17,3,7,1,140,0,3,portejo01
Ben Simmons,27,BKN,PG,15,12,359,-3.1,-0.2,17,4,15,4,5,3,217,1,3,simmobe01
Brandon Boston Jr.,22,LAC,SF,32,0,345,-15.2,-20.6,4,11,26,4,14,3,29,1,13,bostobr01
Jarace Walker,20,IND,PF,33,0,340,3.3,0.4,12,5,17,0,3,2,89,1,1,walkeja02
JaVale McGee,36,SAC,C,46,0,339,-2.2,-3.9,12,7,17,12,25,1,40,7,5,mcgeeja01
Olivier-Maxence Prosper,21,DAL,PF,40,1,336,-12.2,-15.7,3,3,12,1,19,3,56,3,6,prospol01
Jeremiah Robinson-Earl,23,NOP,PF,39,1,334,-0.9,-6.1,9,6,12,0,9,2,49,2,3,robinje02
Neemias Queta,24,BOS,C,28,0,333,19.9,9.4,2,2,34,6,15,1,54,4,12,quetane01
Julian Phillips,20,CHI,SF,40,0,323,-2.5,-1.2,3,3,29,0,12,3,30,5,7,phillju01
Cody Zeller,31,NOP,C,43,0,320,7.3,2.9,6,2,24,6,14,4,92,3,10,zelleco01
Ja Morant,24,MEM,PG,9,9,318,0.3,8.3,16,10,7,1,29,5,172,7,16,moranja01
Ashton Hagans,24,POR,PG,19,1,316,-3.1,6.8,19,6,23,2,7,1,126,1,9,haganas01
Devonte' Graham,28,SAS,PG,23,0,313,4.4,11.7,13,1,7,0,8,1,116,4,4,grahade01
A.J. Lawson,23,DAL,SG,42,0,311,2.7,0.6,7,2,16,1,12,0,51,2,8,lawsoaj01
Nathan Mensah,25,CHA,C,25,0,307,-21.8,-12.1,0,3,39,10,5,10,22,0,2,mensana01
Stanley Umude,24,DET,SG,24,2,307,-10.6,-1.9,7,4,26,1,13,4,24,3,4,umudest01
Orlando Robinson,23,MIA,C,36,7,304,1.7,-0.4,9,2,22,5,11,0,84,3,7,robinor01
Furkan Korkmaz,26,PHI,SG,35,0,300,6,3.3,5,3,13,1,10,2,57,6,2,korkmfu01
Cory Joseph,32,GSW,PG,26,0,296,-0.4,-3.4,6,2,15,1,1,3,109,0,2,josepco01
Ricky Council IV,22,PHI,SG,32,0,289,2.8,-0.2,2,0,9,1,35,0,38,9,6,councri01
Garrett Temple,37,TOR,SG,27,2,289,-14.2,-8.4,9,2,18,1,7,2,69,0,5,templga01
Leaky Black,24,CHA,SF,26,3,284,-6.3,4.6,3,1,9,2,5,2,61,1,5,blackle01
Lindy Waters III,26,OKC,SG,38,0,280,-7.5,-16.6,4,1,15,0,1,0,62,1,1,waterli01
Kessler Edwards,23,SAC,SF,54,0,275,-4.4,-6.1,3,0,17,0,5,4,38,1,6,edwarke02
Damian Jones,28,CLE,C,39,0,270,-18.4,-22.6,4,2,14,5,14,0,40,7,3,jonesda03
Onuralp Bitim,24,CHI,SG,23,1,268,-6.9,-5.9,6,1,17,1,1,2,31,1,5,bitimon01
Kira Lewis Jr.,22,TOT,PG,28,0,265,-13.3,-14,9,1,7,1,12,1,91,4,5,lewiski01
Jamal Cain,24,MIA,PF,26,1,259,-4.3,-6.8,2,2,10,0,12,1,24,1,3,cainja01
Jared Rhoden,24,DET,SG,17,0,245,-7,2,4,3,19,0,4,2,31,0,3,rhodeja01
Justin Champagnie,22,WAS,SF,15,1,235,-13.1,-4.1,8,2,10,0,5,0,41,1,6,champju01
Javonte Green,30,CHI,SF,9,5,230,6.6,8.5,2,3,12,0,7,0,12,3,4,greenja02
Ibou Badji,21,POR,C,22,1,226,-20,-11.3,2,7,30,4,5,1,28,0,3,badjiib01
Collin Gillespie,24,DEN,PG,24,0,225,4.5,-1.1,7,1,10,2,6,2,64,2,3,gilleco01
Gabe Vincent,27,LAL,PG,11,0,218,6.3,6.2,3,2,10,0,1,3,48,0,2,vincega01
Markieff Morris,34,DAL,PF,26,1,216,-14.4,-17.5,6,4,6,1,3,0,39,0,2,morrima02
Jaylen Nowell,24,TOT,SG,13,1,214,-8.5,-0.7,6,0,8,0,5,1,52,1,2,nowelja01
Théo Maledon,22,TOT,PG,17,1,213,-14.8,-5.2,11,3,13,1,8,5,66,3,7,maledth01
Charles Bassey,23,SAS,C,19,0,205,-10.5,-4.4,10,2,20,2,3,0,52,2,1,bassech01
Taj Gibson,38,TOT,PF,20,1,204,-6.9,-9.5,0,2,18,3,1,0,26,0,3,gibsota01
Moses Brown,24,POR,C,22,5,200,-17.1,-8.1,3,4,20,2,16,0,14,3,12,brownmo01
Kenneth Lofton Jr.,21,TOT,PF,21,0,199,-1.5,4.4,4,5,12,5,15,1,81,6,7,loftoke01
Kobe Bufkin,20,ATL,SG,17,0,196,-8.7,-6.8,7,0,11,0,4,0,58,2,7,bufkiko01
Colby Jones,21,SAC,SG,30,0,192,3,1.7,6,2,16,0,5,1,47,1,4,jonesco02
