Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,playerID
Garrison Mathews,27,ATL,SG,66,5,992,103,226,85,193,18,33,0.644,34,42,17,75,92,37,20,8,19,115,325,mathega01
Kenrich Williams,29,OKC,PF,69,1,1029,131,280,56,141,75,139,0.568,7,14,61,148,209,93,38,9,32,101,325,willike04
Chris Boucher,31,TOR,PF,50,0,705,110,217,31,94,79,123,0.578,71,92,62,145,207,23,14,24,28,68,322,bouchch01
Nicolas Batum,35,TOT,PF,60,38,1529,116,256,73,185,43,71,0.596,15,21,70,178,248,128,48,38,40,109,320,batumni01
Anthony Black,20,ORL,PG,69,33,1164,115,247,37,94,78,153,0.54,49,80,33,106,139,91,35,21,56,110,316,blackan01
Marcus Morris,34,TOT,PF,49,7,817,116,264,48,119,68,145,0.53,36,44,23,111,134,36,15,13,30,74,316,morrima03
Jae Crowder,33,MIL,PF,50,25,1156,114,270,58,166,56,104,0.53,26,36,31,130,161,66,38,9,23,74,312,crowdja01
Goga Bitadze,24,ORL,C,62,33,957,126,209,2,14,124,195,0.608,57,87,109,177,286,79,32,72,44,107,311,bitadgo01
Keon Ellis,24,SAC,SG,57,21,978,107,232,70,168,37,64,0.612,26,35,32,92,124,85,51,29,37,112,310,elliske01
Torrey Craig,33,CHI,SF,53,14,1049,108,251,60,153,48,98,0.55,27,36,69,148,217,58,30,21,32,110,303,craigto01
Jaxson Hayes,23,LAL,C,70,5,877,126,175,0,8,126,167,0.72,51,82,69,142,211,33,34,29,43,123,303,hayesja02
Bryce McGowens,21,CHA,SG,59,14,882,101,230,34,102,67,128,0.513,66,85,17,85,102,51,21,10,30,74,302,mcgowbr01
Nick Smith Jr.,19,CHA,SG,51,0,729,113,289,63,146,50,143,0.5,13,15,18,54,72,59,10,7,39,55,302,smithni01
Joe Ingles,36,ORL,SF,68,0,1169,99,227,70,161,29,66,0.59,28,34,18,124,142,203,43,5,67,88,296,inglejo01
Taylor Hendricks,20,UTA,PF,40,23,856,108,240,53,140,55,100,0.56,23,29,46,139,185,32,28,30,27,77,292,hendrta01
Dean Wade,27,CLE,PF,54,32,1108,96,232,79,202,17,30,0.584,20,26,37,181,218,43,40,25,20,93,291,wadede01
Dāvis Bertāns,31,TOT,PF,43,1,674,92,234,76,200,16,34,0.556,30,33,9,52,61,35,26,12,18,56,290,bertada01
Killian Hayes,22,DET,PG,42,31,1008,117,283,22,74,95,209,0.452,33,50,11,108,119,205,36,20,51,75,289,hayeski01
Marcus Smart,29,MEM,PG,20,20,605,102,237,42,134,60,103,0.519,43,56,6,47,53,86,41,5,62,53,289,smartma01
Craig Porter Jr.,23,CLE,PG,51,6,649,116,228,12,34,104,194,0.535,41,56,21,88,109,118,21,15,45,40,285,portecr01
Max Christie,20,LAL,SG,67,7,944,103,241,42,118,61,123,0.515,36,46,15,127,142,60,20,17,35,57,284,chrisma02
Xavier Tillman Sr.,25,TOT,PF,54,15,974,121,279,20,81,101,198,0.47,22,50,70,141,211,77,51,44,34,75,284,tillmxa01
Bruno Fernando,25,ATL,C,45,2,682,109,187,0,4,109,183,0.583,64,96,59,134,193,46,25,28,44,107,282,fernabr01
Danilo Gallinari,35,TOT,SF,49,0,630,83,190,30,93,53,97,0.516,84,98,20,88,108,55,14,6,23,50,280,gallida01
Josh Okogie,25,PHX,SG,60,11,960,86,206,29,94,57,112,0.488,76,102,74,80,154,64,48,24,36,68,277,okogijo01
Jaylin Williams,21,OKC,C,69,1,897,95,228,53,144,42,84,0.533,33,41,36,198,234,110,28,27,34,98,276,willija07
Jock Landale,28,HOU,C,56,3,763,106,206,10,40,96,166,0.539,52,65,88,84,172,65,20,33,31,74,274,landajo01
Lamar Stevens,26,TOT,PF,38,3,559,108,240,14,46,94,194,0.479,42,54,36,91,127,28,23,22,24,45,272,stevela01
Scotty Pippen Jr.,23,MEM,PG,21,16,527,100,203,30,72,70,131,0.567,41,55,22,45,67,98,36,10,56,60,271,pippesc02
Blake Wesley,20,SAS,SG,61,3,876,102,215,12,55,90,160,0.502,52,78,18,76,94,166,29,9,55,89,268,weslebl01
Jae'Sean Tate,28,HOU,SF,65,9,1031,108,229,23,77,85,152,0.522,26,39,61,136,197,64,42,15,37,137,265,tateja01
Cam Reddish,24,LAL,SF,48,26,984,91,234,37,110,54,124,0.468,41,54,27,72,99,48,47,14,31,64,260,reddica01
Bones Hyland,23,LAC,PG,37,5,540,97,251,44,135,53,116,0.474,18,23,5,50,55,93,26,4,44,51,256,hylanbo01
Mo Bamba,25,PHI,C,57,17,740,97,198,25,64,72,134,0.553,34,50,77,161,238,41,22,60,39,101,253,bambamo01
Caleb Houstan,21,ORL,SF,59,13,815,80,206,72,193,8,13,0.563,21,26,28,56,84,29,15,4,16,61,253,houstca01
A.J. Green,24,MIL,SG,56,0,614,83,196,69,169,14,27,0.599,17,19,9,55,64,30,9,4,12,49,252,greenaj01
Ben Sheppard,22,IND,SG,57,1,814,90,229,49,156,41,73,0.5,23,26,15,74,89,53,33,2,15,88,252,sheppbe01
Jared Butler,23,WAS,SG,40,0,566,98,201,24,78,74,123,0.547,31,36,9,49,58,126,29,8,50,58,251,butleja02
Troy Brown Jr.,24,TOT,SF,59,15,827,84,226,47,141,37,85,0.476,32,37,25,119,144,60,24,3,30,42,247,browntr01
Mason Plumlee,33,LAC,C,46,11,674,87,153,0,6,87,147,0.569,70,99,60,174,234,55,14,17,36,68,244,plumlma01
Mark Williams,22,CHA,C,19,19,508,98,151,0,0,98,151,0.649,46,64,76,108,184,22,16,20,17,50,242,willima07
Brice Sensabaugh,20,UTA,SF,32,11,584,85,218,34,115,51,103,0.468,37,41,16,86,102,55,13,6,47,43,241,sensabr01
Gary Payton II,31,GSW,SG,44,0,680,103,183,20,55,83,128,0.617,14,23,46,67,113,48,39,18,27,77,240,paytoga02
John Konchar,27,MEM,SF,55,23,1173,88,208,38,120,50,88,0.514,21,25,72,185,257,110,51,51,46,76,235,konchjo01
Justin Holiday,34,DEN,SG,58,9,862,88,194,55,136,33,58,0.595,3,4,9,62,71,67,36,9,14,69,234,holidju01
Chris Duarte,26,SAC,SF,59,11,719,80,210,44,127,36,83,0.486,26,33,26,80,106,44,28,8,26,80,230,duartch01
Julian Strawther,21,DEN,SF,50,0,545,82,222,41,138,41,84,0.462,22,31,5,56,61,47,17,7,23,54,227,strawju01
Ja Morant,24,MEM,PG,9,9,318,80,170,14,51,66,119,0.512,52,64,6,44,50,73,7,5,27,19,226,moranja01
Seth Curry,33,TOT,SG,44,4,616,80,204,38,108,42,96,0.485,28,31,18,50,68,44,22,6,21,39,226,curryse01
Sasha Vezenkov,28,SAC,PF,42,0,511,84,191,45,120,39,71,0.558,12,15,30,66,96,19,20,7,12,42,225,vezenal01
