Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerID
Malik Monk,21,CHA,SG,55,1,1169,212,488,58,204,154,284,0.494,82,100,27,130,157,114,25,16,77,74,564,monkma01
Larry Nance Jr.,27,CLE,PF,56,10,1472,229,431,56,159,173,272,0.596,50,74,106,303,409,123,56,22,60,91,564,nancela02
Markieff Morris,30,TOT,PF,58,17,1187,203,458,88,228,115,230,0.539,66,85,40,178,218,77,31,17,76,133,560,morrima02
George Hill,33,MIL,PG,59,2,1271,194,376,81,176,113,200,0.624,85,101,50,127,177,180,47,5,57,84,554,hillge01
Kelly Olynyk,28,MIA,C,67,9,1300,184,398,95,234,89,164,0.582,86,100,44,261,305,116,45,23,71,173,549,olynyke01
Marquese Chriss,22,GSW,PF,59,21,1196,210,385,8,39,202,346,0.556,120,156,114,251,365,114,39,62,78,122,548,chrisma01
Kyrie Irving,27,BKN,PG,20,20,658,199,416,56,142,143,274,0.546,94,102,22,81,103,128,27,10,52,53,548,irvinky01
Danny Green,32,LAL,SG,68,68,1687,197,474,120,327,77,147,0.542,33,48,51,174,225,91,85,32,63,136,547,greenda02
Clint Capela,25,HOU,C,39,39,1279,244,388,0,0,244,388,0.629,55,104,168,369,537,48,33,72,63,102,543,capelca01
Terence Davis,22,TOR,SG,72,4,1209,199,436,94,242,105,194,0.564,51,59,50,187,237,115,39,14,76,124,543,daviste02
Gary Trent Jr.,21,POR,SF,61,8,1332,196,441,112,268,84,173,0.571,37,45,25,75,100,61,48,16,21,90,541,trentga02
Zion Williamson,19,NOP,PF,24,24,668,210,360,6,14,204,346,0.592,114,178,64,86,150,50,16,9,59,42,540,willizi01
Richaun Holmes,26,SAC,C,44,38,1242,223,344,0,0,223,344,0.648,93,118,127,231,358,42,41,56,52,169,539,holmeri01
Josh Okogie,21,MIN,SG,62,28,1547,170,398,41,154,129,244,0.479,152,191,87,181,268,99,68,26,87,139,533,okogijo01
Jabari Parker,24,TOT,PF,38,23,917,219,429,32,119,187,310,0.548,61,81,61,153,214,68,45,16,64,99,531,parkeja01
Eric Gordon,31,HOU,SF,36,15,1016,171,463,96,303,75,160,0.473,82,107,9,62,71,54,23,13,43,70,520,gordoer01
Bruce Brown,23,DET,PG,58,43,1634,198,447,33,96,165,351,0.48,88,119,61,213,274,230,63,29,100,162,517,brownbr01
Dwight Howard,34,LAL,C,69,2,1306,202,277,3,5,199,272,0.735,110,214,172,335,507,45,31,79,84,222,517,howardw01
Michael Porter Jr.,21,DEN,SF,55,8,903,195,383,62,147,133,236,0.59,60,72,66,193,259,46,27,25,49,100,512,portemi01
Cameron Johnson,23,PHX,PF,57,9,1255,176,405,106,272,70,133,0.565,46,57,49,138,187,69,36,20,32,88,504,johnsca02
Svi Mykhailiuk,22,DET,SF,56,27,1265,166,405,115,285,51,120,0.552,57,70,17,87,104,106,41,4,61,87,504,mykhasv01
Delon Wright,27,DAL,PG,73,5,1570,190,411,47,127,143,284,0.519,77,100,70,210,280,244,85,22,73,93,504,wrighde01
Jordan Poole,20,GSW,SG,57,14,1274,167,502,74,265,93,237,0.406,95,119,9,109,118,134,35,10,74,94,503,poolejo01
Derrick Jones Jr.,22,MIA,SF,59,16,1375,184,349,37,132,147,217,0.58,95,123,66,167,233,62,58,38,30,130,500,jonesde02
P.J. Tucker,34,HOU,PF,72,72,2467,177,426,107,299,70,127,0.541,39,48,112,364,476,115,77,36,72,229,500,tuckepj01
Kevin Porter Jr.,19,CLE,SF,50,3,1162,186,421,53,158,133,263,0.505,73,101,22,140,162,109,46,14,93,135,498,porteke02
Wesley Matthews,33,MIL,SG,67,67,1635,167,422,108,297,59,125,0.524,52,68,22,144,166,92,38,9,43,103,494,matthwe02
Landry Shamet,22,LAC,SG,53,30,1452,158,391,111,296,47,95,0.546,65,76,6,94,100,99,20,10,42,142,492,shamela01
Isaiah Thomas,30,WAS,PG,40,37,925,174,426,78,189,96,237,0.5,62,76,11,57,68,146,13,6,77,77,488,thomais02
Brad Wanamaker,30,BOS,PG,71,1,1369,162,362,37,102,125,260,0.499,126,136,22,122,144,179,61,14,76,133,487,wanambr01
Wendell Carter Jr.,20,CHI,C,43,43,1256,183,343,6,29,177,314,0.542,112,152,139,266,405,51,33,36,72,162,484,cartewe01
