Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,PlayerID
Tyler Johnson,27,TOT,SG,39,7,18.2,1.9,1.9,7,johnsty01
Zach Collins,22,POR,PF,11,11,26.4,6.3,1.5,7,colliza01
Rondae Hollis-Jefferson,25,TOR,PF,60,6,18.7,4.7,1.8,7,holliro01
Hamidou Diallo,21,OKC,SF,46,3,19.5,3.6,0.8,6.9,diallha01
Harry Giles,21,SAC,C,46,17,14.5,4.1,1.3,6.9,gilesha01
Frank Mason III,25,MIL,PG,9,0,13.1,2.1,3.2,6.9,masonfr01
P.J. Tucker,34,HOU,PF,72,72,34.3,6.6,1.6,6.9,tuckepj01
Brad Wanamaker,30,BOS,PG,71,1,19.3,2,2.5,6.9,wanambr01
Delon Wright,27,DAL,PG,73,5,21.5,3.8,3.3,6.9,wrighde01
Luguentz Dort,20,OKC,SF,36,28,22.8,2.3,0.8,6.8,dortlu01
JaMychal Green,29,LAC,PF,63,1,20.7,6.2,0.8,6.8,greenja01
Denzel Valentine,26,CHI,SF,36,5,13.6,2.1,1.2,6.8,valende01
Dragan Bender,22,TOT,C,16,3,17.9,4.6,1.8,6.7,bendedr01
Damyean Dotson,25,NYK,SG,48,0,17.4,1.9,1.2,6.7,dotsoda01
Kyle Korver,38,MIL,SF,58,1,16.6,2.1,1.2,6.7,korveky01
James Ennis III,29,TOT,SG,69,18,18.3,3.6,0.9,6.6,ennisja01
Chris Boucher,27,TOR,C,62,0,13.2,4.5,0.4,6.6,bouchch01
Ersan İlyasova,32,MIL,PF,63,8,15.7,4.8,0.8,6.6,ilyaser01
Boban Marjanović,31,DAL,C,44,5,9.6,4.5,0.5,6.6,marjabo01
JaVale McGee,32,LAL,C,68,68,16.6,5.7,0.5,6.6,mcgeeja01
Nicolò Melli,29,NOP,C,60,8,17.4,3,1.4,6.6,mellini01
Keita Bates-Diop,24,TOT,SF,44,0,16.9,2.9,0.7,6.5,bateske01
T.J. McConnell,27,IND,PG,71,3,18.7,2.7,5,6.5,mccontj01
Allonzo Trier,24,NYK,SG,24,1,12.1,1.2,1.2,6.5,trieral01
Sekou Doumbouya,19,DET,PF,38,19,19.8,3.1,0.5,6.4,doumbse01
Cory Joseph,28,SAC,PG,72,26,24.4,2.6,3.5,6.4,josepco01
Kevin Knox,20,NYK,SF,65,4,17.9,2.8,0.9,6.4,knoxke01
Trey Lyles,24,SAS,PF,63,53,20.2,5.7,1.1,6.4,lylestr01
Kelan Martin,24,MIN,SF,31,4,16,3.1,0.7,6.4,martike03
C.J. Miles,32,WAS,SF,10,0,16.1,1.2,1.2,6.4,milescj01
Lonnie Walker IV,21,SAS,SG,61,12,16.2,2.3,1.1,6.4,walkelo01
Marco Belinelli,33,SAS,SG,57,0,15.5,1.7,1.2,6.3,belinma01
Frank Jackson,21,NOP,PG,59,2,13.5,1.4,1,6.3,jacksfr01
Abdel Nader,26,OKC,SF,55,6,15.8,1.8,0.7,6.3,naderab01
Frank Ntilikina,21,NYK,PG,57,26,20.8,2.1,3,6.3,ntilila01
Royce O'Neale,26,UTA,SF,71,62,28.9,5.5,2.5,6.3,onealro01
Caleb Martin,24,CHA,SF,18,1,17.6,2.1,1.3,6.2,martica02
Taj Gibson,34,NYK,C,62,56,16.5,4.3,0.8,6.1,gibsota01
Brandon Goodwin,24,ATL,PG,34,1,12.6,2.1,1.5,6.1,goodwbr01
Willy Hernangómez,25,CHA,C,31,0,12.1,4.3,0.9,6.1,hernawi01
Meyers Leonard,27,MIA,C,51,49,20.3,5.1,1.1,6.1,leoname01
Juancho Hernangómez,24,TOT,PF,48,14,17.4,4.1,0.8,6,hernaju01
Devontae Cacok,23,LAL,C,1,0,9,5,1,6,cacokde01
Dusty Hannahs,26,MEM,SG,2,0,6.5,0.5,0,6,hannadu01
Luke Kornet,24,CHI,C,36,14,15.5,2.3,0.9,6,kornelu01
Eric Mika,25,SAC,C,1,0,19,7,0,6,mikaer01
Mike Scott,31,PHI,PF,68,11,17.8,3.6,0.8,6,scottmi01
Marvin Williams,33,TOT,PF,58,1,19.5,3.2,1,5.9,willima02
Wilson Chandler,32,BKN,PF,35,3,21,4.1,1.1,5.9,chandwi01
Georges Niang,26,UTA,PF,66,1,14,1.9,0.7,5.9,niangge01
Dewayne Dedmon,30,TOT,C,44,18,17.6,5.7,0.5,5.8,dedmode01
Maurice Harkless,26,TOT,PF,62,48,23,3.9,1.1,5.8,harklma01
Kyle Anderson,26,MEM,SF,67,28,19.9,4.3,2.4,5.8,anderky01
DeAndre' Bembry,25,ATL,SG,43,4,21.3,3.5,1.9,5.8,bembrde01
PJ Dozier,23,DEN,SG,29,0,14.2,1.9,2.2,5.8,doziepj01
Wes Iwundu,25,ORL,SF,52,21,18.3,2.5,1.2,5.8,iwundwe01
Skal Labissière,23,POR,C,33,1,17.2,5.1,1.3,5.8,labissk01
Anžejs Pasečņiks,24,WAS,C,27,0,16.2,4,0.7,5.8,pasecan01
Nickeil Alexander-Walker,21,NOP,SG,47,1,12.6,1.8,1.9,5.7,alexani01
Dwayne Bacon,24,CHA,SG,39,11,17.6,2.6,1.3,5.7,bacondw01
Bol Bol,20,DEN,PF,7,0,12.4,2.7,0.9,5.7,bolbo01
Talen Horton-Tucker,19,LAL,SG,6,1,13.5,1.2,1,5.7,hortota01
Darius Bazley,19,OKC,PF,61,9,18.5,4,0.7,5.6,bazleda01
