Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Lamar Stevens,24,CLE,PF,63,13,1015,0.489,0.796,0.373,0.201,0.122,0.088,0.204,0.543,0.739,0.266,0.487,0.464,0.277,0.601,1,0.11,32,0.569,0.27,stevela01
Cam Reddish,22,TOT,SF,49,7,1012,0.404,0.549,0.211,0.125,0.105,0.105,0.451,0.442,0.593,0.471,0.279,0.279,0.359,0.525,0.833,0.042,13,0.272,0.46,reddica01
Donte DiVincenzo,25,TOT,SG,42,1,1006,0.351,0.351,0.155,0.137,0.027,0.033,0.649,0.373,0.538,0.239,0.444,0.091,0.339,0.477,0.824,0.009,2,0.216,0.426,divindo01
Wesley Matthews,35,MIL,SG,49,14,1002,0.395,0.286,0.155,0.091,0.041,0,0.714,0.54,0.676,0.4,0.333,0,0.338,0.647,0.981,0,0,0.382,0.367,matthwe02
Payton Pritchard,24,BOS,PG,71,2,1001,0.429,0.343,0.094,0.091,0.062,0.097,0.657,0.461,0.629,0.353,0.478,0.389,0.412,0.356,0.802,0.003,1,0.167,0.585,pritcpa01
Juan Toscano-Anderson,28,GSW,SF,73,6,994,0.489,0.63,0.328,0.277,0.013,0.013,0.37,0.588,0.662,0.538,0,0.333,0.322,0.69,0.857,0.102,21,0.253,0.273,toscaju01
Onyeka Okongwu,21,ATL,C,48,6,992,0.69,1,0.677,0.296,0.027,0,0,0.69,0.765,0.522,0.667,0,0,0.795,0,0.274,59,0,0,okongon01
Khem Birch,29,TOR,C,55,28,991,0.485,0.93,0.385,0.36,0.155,0.005,0.07,0.522,0.597,0.5,0.419,0,0,0.784,0,0.13,24,0.857,0,birchkh01
Kessler Edwards,21,BKN,SF,48,23,987,0.412,0.491,0.266,0.116,0.071,0.037,0.509,0.473,0.493,0.387,0.526,0.5,0.353,0.645,1,0.094,18,0.456,0.371,edwarke02
Dean Wade,25,CLE,PF,51,28,980,0.456,0.346,0.198,0.055,0.069,0.023,0.654,0.64,0.767,0.5,0.267,1,0.359,0.563,0.98,0.065,14,0.268,0.211,wadede01
Daniel Theis,29,TOT,C,47,27,977,0.519,0.632,0.378,0.134,0.076,0.045,0.368,0.641,0.745,0.59,0.364,0.385,0.308,0.797,0.97,0.189,48,0.252,0.37,theisda01
Jaylen Nowell,22,MIN,SG,62,1,975,0.475,0.613,0.203,0.225,0.143,0.041,0.387,0.526,0.679,0.43,0.508,0.353,0.394,0.429,0.778,0.022,8,0.169,0.407,nowelja01
Nic Claxton,22,BKN,C,47,19,974,0.674,1,0.697,0.284,0.019,0,0,0.674,0.815,0.347,0.4,0,0,0.736,0,0.356,88,0,0,claxtni01
Dwight Howard,36,LAL,C,60,27,971,0.612,0.932,0.626,0.251,0.037,0.014,0.068,0.618,0.73,0.418,0.25,0,0.533,0.667,0.875,0.228,39,0.133,1,howardw01
Ricky Rubio,31,CLE,PG,34,8,970,0.363,0.577,0.185,0.163,0.129,0.075,0.423,0.38,0.474,0.299,0.358,0.29,0.339,0.256,0.661,0,0,0.282,0.306,rubiori01
Duane Washington Jr.,21,IND,PG,48,7,968,0.405,0.496,0.201,0.155,0.08,0.061,0.504,0.434,0.535,0.379,0.353,0.346,0.377,0.522,0.926,0.016,6,0.34,0.479,washidu02
Joshua Primo,19,SAS,SF,50,16,965,0.374,0.493,0.2,0.178,0.07,0.044,0.507,0.444,0.611,0.375,0.263,0.25,0.307,0.525,0.929,0.033,8,0.35,0.271,primojo01
Moritz Wagner,24,ORL,C,63,3,960,0.497,0.492,0.316,0.169,0,0.008,0.508,0.672,0.752,0.552,0,0,0.328,0.763,0.985,0.149,50,0.119,0.375,wagnemo01
Blake Griffin,32,BKN,C,56,24,958,0.425,0.537,0.332,0.15,0.035,0.013,0.463,0.565,0.615,0.532,0.273,0.5,0.262,0.611,0.921,0.054,12,0.241,0.229,griffbl01
Keita Bates-Diop,26,SAS,SF,59,14,956,0.517,0.791,0.502,0.198,0.046,0.046,0.209,0.572,0.682,0.385,0.5,0.25,0.309,0.756,0.941,0.072,19,0.455,0.32,bateske01
Isaiah Roby,23,OKC,PF,45,28,948,0.514,0.693,0.31,0.325,0.031,0.015,0.307,0.545,0.7,0.419,0.3,0.4,0.444,0.664,0.886,0.136,36,0.273,0.481,robyis01
Kemba Walker,31,NYK,PG,37,37,948,0.403,0.462,0.138,0.13,0.084,0.111,0.538,0.444,0.569,0.375,0.323,0.463,0.367,0.211,0.507,0,0,0.03,0.5,walkeke02
Taj Gibson,36,NYK,C,52,4,946,0.518,0.771,0.398,0.181,0.102,0.09,0.229,0.555,0.667,0.433,0.529,0.333,0.395,0.676,1,0.127,18,0.658,0.52,gibsota01
Rui Hachimura,23,WAS,PF,42,13,943,0.491,0.677,0.197,0.15,0.16,0.171,0.323,0.512,0.84,0.404,0.393,0.338,0.447,0.606,0.982,0.063,22,0.285,0.429,hachiru01
Klay Thompson,31,GSW,SG,32,32,941,0.429,0.483,0.061,0.129,0.162,0.131,0.517,0.477,0.714,0.486,0.409,0.44,0.385,0.636,0.886,0.009,5,0.166,0.367,thompkl01
Jeremy Lamb,29,TOT,SF,56,0,935,0.383,0.51,0.089,0.196,0.147,0.066,0.49,0.441,0.581,0.412,0.412,0.391,0.324,0.346,0.8,0,0,0.188,0.313,lambje01
Jalen Smith,21,TOT,PF,51,8,925,0.503,0.651,0.291,0.246,0.063,0.051,0.349,0.596,0.765,0.5,0.364,0.389,0.328,0.721,1,0.111,38,0.27,0.242,smithja04
Théo Maledon,20,OKC,PG,51,7,908,0.375,0.527,0.117,0.331,0.054,0.022,0.473,0.449,0.514,0.467,0.294,0.286,0.293,0.453,0.864,0.003,1,0.18,0.222,maledth01
Tomáš Satoranský,30,TOT,SG,55,13,906,0.377,0.723,0.241,0.236,0.152,0.094,0.277,0.442,0.63,0.333,0.379,0.333,0.208,0.443,1,0.037,6,0.208,0.091,satorto01
Jevon Carter,26,TOT,PG,66,3,905,0.387,0.328,0.055,0.043,0.067,0.162,0.672,0.386,0.429,0.273,0.471,0.366,0.388,0.438,0.773,0.004,1,0.324,0.473,carteje01
Jordan McLaughlin,25,MIN,PG,62,3,902,0.44,0.575,0.29,0.23,0.05,0.005,0.425,0.53,0.707,0.326,0.4,1,0.318,0.492,0.852,0.015,3,0.365,0.516,mclaujo01
Derrick Jones Jr.,24,CHI,PF,51,8,899,0.538,0.687,0.549,0.128,0.005,0.005,0.313,0.634,0.701,0.32,1,1,0.328,0.706,1,0.205,39,0.672,0.39,jonesde02
Tristan Thompson,30,TOT,C,57,6,897,0.528,0.989,0.487,0.464,0.034,0.004,0.011,0.53,0.608,0.452,0.556,0,0.333,0.657,1,0.157,33,0,0,thomptr01
Jalen McDaniels,24,CHA,SF,55,2,895,0.484,0.575,0.283,0.224,0.051,0.016,0.425,0.562,0.75,0.386,0.231,0.75,0.38,0.61,1,0.075,17,0.38,0.341,mcdanja01
Dillon Brooks,26,MEM,SF,32,31,885,0.432,0.717,0.196,0.249,0.186,0.086,0.283,0.48,0.68,0.389,0.398,0.467,0.309,0.47,0.826,0.029,12,0.161,0.375,brookdi01
D.J. Augustin,34,TOT,PG,55,2,883,0.423,0.261,0.131,0.086,0.018,0.027,0.739,0.448,0.586,0.368,0.25,0.167,0.415,0.308,0.824,0,0,0.238,0.462,augusdj01
Serge Ibaka,32,TOT,C,54,12,877,0.5,0.666,0.193,0.274,0.105,0.095,0.334,0.563,0.789,0.506,0.516,0.321,0.374,0.703,1,0.074,21,0.091,0.222,ibakase01
Trendon Watford,21,POR,SF,48,10,869,0.532,0.858,0.371,0.337,0.135,0.015,0.142,0.581,0.768,0.478,0.361,0.25,0.237,0.579,0.889,0.03,7,0.237,0.111,watfotr01
Trey Murphy III,21,NOP,SF,62,1,864,0.394,0.329,0.191,0.083,0.018,0.025,0.671,0.418,0.585,0.174,0.2,0.143,0.382,0.553,0.944,0.069,16,0.387,0.458,murphtr02
Maurice Harkless,28,SAC,SF,47,24,863,0.459,0.442,0.26,0.155,0,0.017,0.558,0.65,0.681,0.643,0,0.333,0.307,0.769,1,0.116,17,0.594,0.367,harklma01
Thaddeus Young,33,TOT,PF,52,1,845,0.518,0.824,0.382,0.393,0.026,0.022,0.176,0.554,0.625,0.523,0.286,0.167,0.354,0.524,1,0.037,7,0.604,0.483,youngth01
Armoni Brooks,23,TOT,SG,54,11,844,0.339,0.138,0.083,0.035,0.01,0.01,0.862,0.6,0.708,0.6,0,0.333,0.297,0.667,0.824,0.014,3,0.137,0.265,brookar01
Willy Hernangómez,27,NOP,C,50,8,839,0.52,0.963,0.563,0.352,0.043,0.006,0.037,0.527,0.63,0.391,0.357,0,0.333,0.687,1,0.098,30,0.083,0,hernawi01
Jose Alvarado,23,NOP,PG,54,1,834,0.446,0.626,0.235,0.248,0.099,0.044,0.374,0.538,0.609,0.507,0.483,0.462,0.291,0.303,0.969,0,0,0.227,0.32,alvarjo01
Josh Jackson,24,TOT,SF,51,3,830,0.4,0.567,0.243,0.17,0.06,0.093,0.433,0.512,0.712,0.392,0.389,0.286,0.254,0.517,0.879,0.043,9,0.238,0.194,jacksjo02
Tony Snell,30,TOT,SG,53,12,823,0.404,0.251,0.105,0.094,0.035,0.018,0.749,0.558,0.722,0.375,0.5,0.667,0.352,0.75,0.956,0.018,3,0.477,0.361,snellto01
Lance Stephenson,31,TOT,SG,46,1,814,0.455,0.721,0.22,0.164,0.08,0.257,0.279,0.515,0.662,0.547,0.423,0.398,0.3,0.2,0.593,0.003,1,0.178,0.375,stephla01
Wayne Ellington,34,LAL,SG,43,9,810,0.414,0.11,0.042,0.025,0.03,0.013,0.89,0.615,0.8,0.667,0.429,0.333,0.389,0.875,0.951,0,0,0.28,0.475,ellinwa01
Dāvis Bertāns,29,TOT,PF,56,0,807,0.36,0.164,0.062,0.069,0.015,0.011,0.836,0.489,0.588,0.421,0,0.667,0.335,0.773,0.974,0.036,9,0.222,0.471,bertada01
Ty Jerome,24,OKC,SG,48,4,801,0.378,0.433,0.07,0.235,0.113,0.015,0.567,0.493,0.478,0.481,0.568,0.2,0.29,0.3,0.796,0,0,0.156,0.414,jeromty01
Lou Williams,35,ATL,PG,56,0,799,0.391,0.681,0.116,0.159,0.244,0.163,0.319,0.404,0.514,0.392,0.372,0.385,0.363,0.341,0.73,0.003,1,0.373,0.421,willilo02
Quentin Grimes,21,NYK,SG,46,6,786,0.404,0.196,0.089,0.017,0.021,0.068,0.804,0.5,0.714,0,0.2,0.438,0.381,0.609,0.958,0.013,3,0.249,0.468,grimequ01
Justise Winslow,25,TOT,PF,48,11,774,0.428,0.743,0.35,0.253,0.07,0.062,0.257,0.497,0.678,0.385,0.222,0.25,0.227,0.695,1,0.023,5,0.394,0.231,winslju01
Romeo Langford,22,TOT,SG,48,5,771,0.435,0.555,0.204,0.241,0.079,0.031,0.445,0.509,0.718,0.37,0.467,0.333,0.341,0.722,0.966,0.047,8,0.518,0.318,langfro01
Trent Forrest,23,UTA,PG,60,6,765,0.49,0.826,0.316,0.439,0.058,0.013,0.174,0.555,0.592,0.529,0.556,0.5,0.185,0.225,1,0.026,3,0.63,0.235,forretr01
Kelly Olynyk,30,DET,C,40,1,764,0.448,0.584,0.301,0.175,0.045,0.063,0.416,0.527,0.64,0.38,0.385,0.5,0.336,0.625,0.875,0.052,11,0.017,0.5,olynyke01
Brandon Boston Jr.,20,LAC,SG,51,0,760,0.385,0.658,0.258,0.126,0.123,0.151,0.342,0.425,0.631,0.122,0.45,0.306,0.306,0.615,0.588,0.062,15,0.207,0.391,bostobr01
Rodney McGruder,30,DET,SG,51,2,754,0.436,0.351,0.169,0.12,0.044,0.018,0.649,0.506,0.605,0.37,0.4,0.75,0.397,0.65,1,0.009,1,0.459,0.418,mcgruro01
Eric Paschall,25,UTA,PF,58,3,736,0.485,0.54,0.315,0.183,0.034,0.009,0.46,0.583,0.649,0.512,0.25,1,0.37,0.581,0.95,0.094,17,0.519,0.411,pascher01
Naji Marshall,24,NOP,SF,55,4,735,0.405,0.61,0.32,0.193,0.071,0.026,0.39,0.537,0.581,0.538,0.526,0,0.2,0.557,0.81,0.063,14,0.305,0.156,marshna01
Goga Bitadze,22,IND,C,50,16,729,0.52,0.683,0.464,0.175,0.032,0.008,0.317,0.628,0.735,0.409,0.375,0,0.288,0.694,1,0.119,26,0.063,0.2,bitadgo01
Danuel House Jr.,28,TOT,SF,42,7,727,0.404,0.409,0.207,0.116,0.045,0.04,0.591,0.444,0.634,0.174,0.333,0.375,0.376,0.75,0.932,0.061,7,0.521,0.377,houseda01
DeMarcus Cousins,31,TOT,C,48,7,718,0.46,0.623,0.361,0.225,0.015,0.022,0.377,0.554,0.65,0.452,0.2,0.286,0.303,0.598,1,0.068,20,0.049,0.333,couside01
Svi Mykhailiuk,24,TOR,SF,56,5,716,0.389,0.427,0.209,0.098,0.06,0.051,0.573,0.5,0.571,0.522,0.286,0.333,0.306,0.54,0.927,0.034,6,0.291,0.41,mykhasv01
Terry Taylor,22,IND,PF,33,7,714,0.614,0.827,0.482,0.282,0.045,0.018,0.173,0.676,0.755,0.565,0.6,0.5,0.316,0.667,0.917,0.064,11,0.658,0.32,taylote01
Rodney Hood,29,TOT,SF,52,0,709,0.369,0.42,0.089,0.096,0.102,0.134,0.58,0.424,0.857,0.267,0.438,0.238,0.33,0.536,0.8,0.006,1,0.275,0.32,hoodro01
Omer Yurtseven,23,MIA,C,56,12,706,0.526,0.955,0.437,0.385,0.113,0.02,0.045,0.547,0.722,0.432,0.357,0,0.091,0.783,1,0.178,39,0.182,0,yurtsom01
Xavier Tillman Sr.,23,MEM,PF,53,2,701,0.454,0.773,0.389,0.245,0.106,0.032,0.227,0.527,0.595,0.472,0.478,0.286,0.204,0.67,0.8,0.093,16,0.265,0.308,tillmxa01
Zeke Nnaji,21,DEN,PF,41,1,698,0.516,0.57,0.355,0.156,0.005,0.054,0.43,0.557,0.727,0.241,0,0.4,0.463,0.576,0.946,0.124,20,0.425,0.5,nnajize01
Keon Johnson,19,TOT,SG,37,12,697,0.353,0.632,0.276,0.188,0.103,0.066,0.368,0.36,0.507,0.353,0.214,0,0.34,0.484,0.559,0.044,12,0.18,0.167,johnske07
Rajon Rondo,35,TOT,PG,39,1,697,0.386,0.5,0.205,0.159,0.091,0.017,0.5,0.42,0.639,0.25,0.313,0,0.352,0.081,0.806,0,0,0.114,0.3,rondora01
Dalano Banton,22,TOR,PG,64,1,696,0.411,0.748,0.322,0.223,0.119,0.064,0.252,0.464,0.615,0.356,0.292,0.385,0.255,0.329,0.615,0.03,6,0.235,0.25,bantoda01
Vít Krejčí,21,OKC,SG,30,8,690,0.407,0.413,0.102,0.257,0.012,0.042,0.587,0.522,0.824,0.442,0,0.429,0.327,0.556,0.906,0.03,5,0.194,0.474,krejcvi01
Frank Ntilikina,23,DAL,SG,58,5,685,0.399,0.502,0.117,0.157,0.094,0.135,0.498,0.455,0.462,0.429,0.429,0.5,0.342,0.529,0.895,0.013,1,0.315,0.343,ntilila01
Timothé Luwawu-Cabarrot,26,ATL,SF,52,18,685,0.398,0.344,0.22,0.07,0.038,0.016,0.656,0.469,0.512,0.385,0.429,0.333,0.361,0.7,0.977,0.032,6,0.459,0.464,luwawti01
Davon Reed,26,DEN,SG,48,5,668,0.503,0.466,0.099,0.161,0.075,0.13,0.534,0.587,0.688,0.5,0.583,0.619,0.43,0.591,0.919,0.025,2,0.302,0.385,reedda01
Derrick Favors,30,OKC,C,39,18,653,0.516,0.912,0.302,0.165,0.225,0.176,0.088,0.554,0.673,0.433,0.537,0.406,0.125,0.761,1,0.071,11,0.875,0.071,favorde01
T.J. McConnell,29,IND,PG,27,8,652,0.481,0.841,0.274,0.317,0.163,0.058,0.159,0.514,0.561,0.576,0.382,0.25,0.303,0.256,0.9,0,0,0.333,0.273,mccontj01
Greg Brown III,20,POR,SF,48,6,640,0.426,0.679,0.437,0.158,0.016,0.058,0.321,0.481,0.639,0.2,0.333,0.091,0.311,0.629,1,0.258,40,0.377,0.261,browngr01
Brandon Williams,22,POR,PG,24,16,640,0.372,0.624,0.259,0.184,0.099,0.082,0.376,0.42,0.507,0.327,0.429,0.348,0.292,0.311,0.71,0.004,1,0.208,0.455,willibr03
Dennis Smith Jr.,24,POR,PG,37,4,638,0.418,0.857,0.349,0.307,0.09,0.106,0.143,0.451,0.53,0.431,0.235,0.45,0.222,0.329,0.333,0.026,3,0.185,0.2,smithde03
Derrick Rose,33,NYK,PG,26,4,636,0.445,0.664,0.245,0.23,0.088,0.102,0.336,0.467,0.582,0.508,0.292,0.25,0.402,0.259,0.757,0,0,0.185,0.353,rosede01
Sterling Brown,26,DAL,SG,49,3,628,0.381,0.406,0.206,0.116,0.039,0.045,0.594,0.492,0.625,0.278,0.333,0.571,0.304,0.774,0.857,0.013,0,0.5,0.239,brownst02
DeAndre Jordan,33,TOT,C,48,20,622,0.643,1,0.797,0.168,0.007,0.007,0,0.643,0.693,0.417,0,0,0,0.761,0,0.517,66,0,0,jordade01
Alex Len,28,SAC,C,39,10,620,0.534,0.881,0.409,0.33,0.125,0.006,0.119,0.568,0.708,0.448,0.455,0,0.286,0.761,0.667,0.17,26,0.238,0.2,lenal01
Robin Lopez,33,ORL,C,36,9,612,0.553,0.97,0.281,0.618,0.055,0.015,0.03,0.56,0.714,0.512,0.364,0.333,0.333,0.519,1,0.035,7,0.167,1,lopezro01
Isaiah Joe,22,PHI,SG,55,1,609,0.35,0.237,0.079,0.034,0.045,0.079,0.763,0.405,0.643,0.333,0.375,0.214,0.333,0.647,1,0.023,4,0.296,0.4,joeis01
David Nwaba,29,HOU,SF,46,4,609,0.483,0.722,0.511,0.193,0.017,0,0.278,0.551,0.656,0.294,0.333,0,0.306,0.543,1,0.125,22,0.408,0.3,nwabada01
Moses Moody,19,GSW,SG,52,11,607,0.437,0.399,0.213,0.082,0.049,0.055,0.601,0.548,0.641,0.467,0.667,0.2,0.364,0.7,1,0.06,11,0.336,0.243,moodymo01
Saben Lee,22,DET,PG,37,0,604,0.39,0.661,0.379,0.232,0.04,0.011,0.339,0.47,0.597,0.341,0.143,0,0.233,0.455,0.786,0.051,7,0.233,0.214,leesa01
Andre Iguodala,38,GSW,SF,31,0,603,0.38,0.388,0.207,0.116,0.025,0.041,0.612,0.617,0.76,0.571,0,0.4,0.23,0.621,0.941,0.157,17,0.338,0.24,iguodan01
Mike Muscala,30,OKC,C,43,0,592,0.456,0.343,0.129,0.097,0.089,0.028,0.657,0.506,0.688,0.458,0.318,0.429,0.429,0.814,1,0.036,9,0.178,0.345,muscami01
Jock Landale,26,SAS,C,54,1,589,0.495,0.564,0.368,0.152,0.025,0.02,0.436,0.626,0.707,0.484,0.2,0.75,0.326,0.708,1,0.118,23,0.225,0.4,landajo01
Aaron Nesmith,22,BOS,SF,52,3,574,0.396,0.368,0.126,0.154,0.033,0.055,0.632,0.612,0.87,0.464,0.167,0.7,0.27,0.805,0.935,0.027,5,0.383,0.205,nesmiaa01
Keifer Sykes,28,IND,PG,32,11,566,0.363,0.526,0.168,0.079,0.116,0.163,0.474,0.42,0.688,0.333,0.182,0.355,0.3,0.429,0.889,0.021,4,0.3,0.407,sykeske01
Nerlens Noel,27,NYK,C,25,11,562,0.533,0.95,0.533,0.25,0.167,0,0.05,0.561,0.563,0.533,0.6,0,0,0.75,0,0.117,3,0.667,0,noelne01
Jericho Sims,23,NYK,PF,41,5,555,0.722,1,0.815,0.148,0.037,0,0,0.722,0.795,0.5,0,0,0,0.795,0,0.63,33,0,0,simsje01
Tony Bradley,24,CHI,C,55,7,549,0.585,1,0.626,0.252,0.065,0.057,0,0.585,0.649,0.484,0.375,0.571,0,0.75,0,0.138,13,0,0,bradlto01
Elfrid Payton,27,PHX,PG,50,1,549,0.383,0.897,0.246,0.474,0.091,0.046,0.103,0.401,0.488,0.373,0.313,0.25,0.222,0.254,0.75,0.023,3,0.333,0,paytoel01
Kent Bazemore,32,LAL,SF,39,14,545,0.324,0.424,0.165,0.094,0.058,0.101,0.576,0.271,0.304,0.308,0.125,0.214,0.363,0.75,0.828,0.014,1,0.475,0.368,bazemke01
Isaiah Jackson,20,IND,C,36,15,541,0.563,0.922,0.617,0.214,0.053,0.029,0.078,0.584,0.677,0.455,0.182,0.333,0.313,0.757,1,0.248,46,0.063,1,jacksis01
Malachi Flynn,23,TOR,PG,44,5,537,0.393,0.508,0.12,0.148,0.077,0.158,0.492,0.452,0.545,0.481,0.571,0.31,0.333,0.214,0.8,0,0,0.122,0.727,flynnma01
Ignas Brazdeikis,23,ORL,SF,42,1,536,0.431,0.537,0.293,0.202,0.027,0.016,0.463,0.535,0.636,0.421,0.2,0.667,0.31,0.574,0.926,0.005,0,0.333,0.31,brazdig01
Terence Davis,24,SAC,SG,30,11,536,0.423,0.442,0.221,0.15,0.03,0.03,0.558,0.542,0.712,0.375,0.375,0.5,0.329,0.563,0.796,0.037,7,0.201,0.367,daviste02
Josh Okogie,23,MIN,SG,49,6,516,0.404,0.548,0.365,0.173,0.01,0,0.452,0.491,0.526,0.444,0,0,0.298,0.607,1,0.115,9,0.468,0.182,okogijo01
Bismack Biyombo,29,PHX,C,36,3,506,0.593,1,0.517,0.393,0.083,0.007,0,0.593,0.747,0.474,0.25,0,0,0.744,0,0.234,34,0,0,biyombi01
Brandon Goodwin,26,CLE,PG,36,5,502,0.416,0.643,0.266,0.201,0.117,0.058,0.357,0.455,0.634,0.355,0.333,0.222,0.345,0.244,0.632,0,0,0.145,0.25,goodwbr01
Zach Collins,24,SAS,C,28,4,502,0.49,0.735,0.29,0.316,0.065,0.065,0.265,0.544,0.756,0.347,0.5,0.6,0.341,0.742,1,0.039,6,0.049,0.5,colliza01
Goran Dragić,35,TOT,PG,21,8,498,0.377,0.583,0.192,0.172,0.166,0.053,0.417,0.466,0.621,0.538,0.28,0.25,0.254,0.195,0.875,0.007,1,0.19,0.25,dragigo01
Thanasis Antetokounmpo,29,MIL,SF,48,6,473,0.547,0.891,0.656,0.164,0.039,0.008,0.109,0.596,0.69,0.333,0.2,1,0.143,0.618,0.5,0.219,24,0.429,0.167,antetth01
Admiral Schofield,24,ORL,SF,38,1,469,0.419,0.388,0.147,0.209,0.023,0.008,0.612,0.56,0.632,0.481,0.667,1,0.329,0.714,0.962,0.023,1,0.367,0.345,schofad01
Lindy Waters III,24,OKC,SG,25,1,465,0.406,0.166,0.04,0.097,0.023,0.006,0.834,0.621,0.714,0.647,0.25,1,0.363,0.722,0.887,0.023,4,0.247,0.306,waterli01
Anthony Gill,29,WAS,PF,44,0,463,0.569,0.761,0.294,0.45,0.018,0,0.239,0.578,0.625,0.551,0.5,0,0.538,0.771,1,0.046,3,0.462,0.583,gillan01
Trevor Ariza,36,LAL,SF,24,11,462,0.333,0.253,0.162,0.081,0.01,0,0.747,0.52,0.688,0.25,0,0,0.27,0.769,1,0.01,1,0.365,0.185,arizatr01
Killian Tillie,23,MEM,C,36,3,461,0.339,0.323,0.126,0.15,0.039,0,0.677,0.39,0.688,0.211,0.2,0,0.314,0.625,0.963,0.024,3,0.291,0.28,tilliki02
Dylan Windler,25,CLE,SF,50,0,459,0.378,0.286,0.194,0.082,0.01,0,0.714,0.571,0.632,0.5,0,0,0.3,0.813,0.952,0.041,3,0.429,0.333,windldy01
Matt Thomas,27,CHI,SG,40,0,459,0.41,0.321,0.007,0.015,0.082,0.216,0.679,0.465,1,0,0.273,0.552,0.385,0.85,0.886,0,0,0.242,0.5,thomama02
Kelan Martin,26,TOT,SF,30,1,450,0.409,0.561,0.234,0.123,0.088,0.117,0.439,0.5,0.65,0.19,0.467,0.55,0.293,0.646,1,0.023,3,0.347,0.423,martike03
Yuta Watanabe,27,TOR,SF,38,4,445,0.406,0.428,0.167,0.13,0.101,0.029,0.572,0.492,0.565,0.333,0.571,0.5,0.342,0.655,1,0.029,2,0.43,0.382,watanyu01
Juancho Hernangómez,26,TOT,PF,40,9,445,0.415,0.349,0.217,0.123,0.009,0,0.651,0.541,0.696,0.308,0,0,0.348,0.8,1,0.057,5,0.362,0.4,hernaju01
Trey Burke,29,DAL,PG,42,0,441,0.391,0.619,0.098,0.163,0.126,0.233,0.381,0.436,0.714,0.429,0.444,0.32,0.317,0.259,0.846,0,0,0.146,0.583,burketr01
Thomas Bryant,24,WAS,C,27,9,439,0.52,0.716,0.385,0.169,0.034,0.128,0.284,0.613,0.754,0.48,0.2,0.474,0.286,0.738,1,0.223,30,0.167,0.286,bryanth01
Elijah Hughes,23,TOT,SG,36,4,434,0.326,0.34,0.09,0.09,0.125,0.035,0.66,0.449,0.692,0.615,0.278,0,0.263,0.5,0.84,0.021,2,0.274,0.231,hugheel01
Joe Harris,30,BKN,SF,14,14,423,0.452,0.29,0.097,0.105,0.04,0.016,0.71,0.417,0.5,0.385,0.6,0.5,0.466,0.867,0.878,0,0,0.261,0.652,harrijo01
Patrick Williams,20,CHI,PF,17,9,422,0.529,0.716,0.275,0.147,0.108,0.186,0.284,0.534,0.714,0.4,0.545,0.368,0.517,0.667,0.933,0.069,7,0.414,0.5,willipa01
Olivier Sarr,22,OKC,C,22,2,421,0.574,0.713,0.238,0.396,0.069,0.01,0.287,0.625,0.667,0.575,0.857,0,0.448,0.778,1,0.267,19,0.241,0.143,sarrol01
Enes Freedom,29,BOS,C,35,1,411,0.526,0.948,0.557,0.33,0.041,0.021,0.052,0.533,0.537,0.5,0.5,1,0.4,0.388,1,0.031,2,0.2,1,kanteen01
Sandro Mamukelashvili,22,MIL,PF,41,3,407,0.496,0.548,0.409,0.104,0.026,0.009,0.452,0.556,0.638,0.25,0.667,0,0.423,0.629,1,0.087,8,0.25,0.308,mamuksa01
Semi Ojeleye,27,TOT,PF,30,0,406,0.303,0.495,0.091,0.263,0.141,0,0.505,0.306,0.667,0.269,0.143,0,0.3,0.733,0.8,0.061,5,0.28,0.286,ojelese01
Day'Ron Sharpe,20,BKN,PF,32,8,391,0.577,0.953,0.772,0.161,0.02,0,0.047,0.592,0.652,0.333,0.333,0,0.286,0.595,1,0.195,22,0.143,1,sharpda01
Luka Garza,23,DET,C,32,5,389,0.449,0.667,0.293,0.218,0.068,0.088,0.333,0.51,0.674,0.5,0.2,0.231,0.327,0.52,1,0.027,4,0.061,0,garzalu01
Isaiah Livers,23,DET,SF,19,5,383,0.456,0.289,0.111,0.078,0.033,0.067,0.711,0.538,0.8,0.429,0.667,0.167,0.422,0.643,0.963,0.011,1,0.406,0.423,liveris01
Gary Clark,27,NOP,PF,38,1,378,0.375,0.205,0.091,0.102,0.011,0,0.795,0.278,0.125,0.444,0,0,0.4,0.8,0.964,0.011,0,0.571,0.5,clarkga01
Paul Millsap,36,TOT,C,33,1,376,0.391,0.696,0.348,0.235,0.087,0.009,0.304,0.463,0.525,0.444,0.3,0,0.229,0.459,0.875,0.052,3,0.314,0.091,millspa01
Miles McBride,21,NYK,PG,40,2,372,0.296,0.37,0.139,0.093,0.019,0.12,0.63,0.375,0.6,0.2,0,0.308,0.25,0.267,0.765,0.009,0,0.25,0.353,mcbrimi01
Chris Chiozza,26,GSW,PG,34,1,372,0.296,0.346,0.111,0.136,0.049,0.049,0.654,0.25,0.222,0.273,0,0.5,0.321,0.143,0.765,0,0,0.245,0.231,chiozch01
Gorgui Dieng,32,ATL,C,44,3,371,0.473,0.393,0.134,0.071,0.089,0.098,0.607,0.545,0.733,0.375,0.6,0.364,0.426,0.833,0.931,0.018,2,0.059,0.5,dienggo01
