Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,playerID
Bones Hyland,21,DEN,SG,69,4,1310,230,571,131,358,99,213,0.518,107,125,14,174,188,191,41,20,86,153,698,hylanbo01
KJ Martin,21,HOU,SF,79,2,1656,279,523,60,168,219,355,0.591,78,123,80,217,297,101,34,40,60,113,696,martike04
Damian Lillard,31,POR,PG,29,29,1056,222,552,92,284,130,268,0.486,159,181,13,107,120,212,17,11,83,37,695,lillada01
Alperen Şengün,19,HOU,C,72,13,1489,249,525,29,117,220,408,0.502,165,232,138,255,393,185,59,68,145,214,692,sengual01
Nickeil Alexander-Walker,23,TOT,SG,65,21,1466,253,680,105,338,148,342,0.449,81,109,37,150,187,156,46,23,93,103,692,alexani01
Malcolm Brogdon,29,IND,PG,36,36,1206,243,543,58,186,185,357,0.501,143,167,33,152,185,212,30,14,77,71,687,brogdma01
Deni Avdija,21,WAS,SF,82,8,1984,250,579,82,259,168,320,0.503,103,136,52,373,425,167,59,44,87,190,685,avdijde01
JaVale McGee,34,PHX,C,74,17,1172,288,458,2,9,286,449,0.631,102,146,163,333,496,42,22,81,98,181,680,mcgeeja01
Ayo Dosunmu,22,CHI,SG,77,40,2110,278,535,70,186,208,349,0.585,53,78,27,187,214,256,60,29,108,182,679,dosunay01
Gary Harris,27,ORL,SG,61,30,1730,240,553,116,302,124,251,0.539,83,95,36,86,122,108,59,9,61,112,679,harriga01
Daniel Gafford,23,WAS,C,72,53,1444,285,411,0,1,285,410,0.693,107,153,155,252,407,68,30,99,65,170,677,gaffoda01
Josh Giddey,19,OKC,SF,54,54,1700,281,670,56,213,225,457,0.461,56,79,98,323,421,345,51,20,171,88,674,giddejo01
P.J. Washington,23,CHA,C,65,28,1768,250,532,110,301,140,231,0.573,58,81,82,255,337,147,57,61,82,152,668,washipj01
Brandon Clarke,25,MEM,PF,64,1,1246,288,447,5,22,283,425,0.65,85,130,135,207,342,86,39,68,34,122,666,clarkbr01
Josh Richardson,28,TOT,SG,65,7,1600,234,534,102,246,132,288,0.534,96,108,42,143,185,115,56,29,66,116,666,richajo01
Precious Achiuwa,22,TOR,C,73,28,1725,265,603,56,156,209,447,0.486,78,131,146,327,473,82,37,41,84,151,664,achiupr01
Bryn Forbes,28,TOT,SG,75,2,1286,231,539,122,295,109,244,0.542,79,87,10,83,93,75,25,5,56,95,663,forbebr01
Ben McLemore,28,POR,SG,64,6,1285,216,539,151,417,65,122,0.541,72,88,12,91,103,59,38,10,55,103,655,mclembe01
Jaxson Hayes,21,NOP,C,70,28,1398,245,398,20,57,225,341,0.641,144,188,115,200,315,43,33,55,54,155,654,hayesja02
Jonathan Kuminga,19,GSW,SF,70,12,1185,236,460,50,149,186,311,0.567,130,190,54,180,234,64,31,22,74,146,652,kuminjo01
Klay Thompson,31,GSW,SG,32,32,941,246,573,114,296,132,277,0.529,46,51,15,110,125,88,16,17,43,54,652,thompkl01
Garrison Mathews,25,HOU,SG,65,33,1712,184,461,139,386,45,75,0.55,143,180,32,158,190,64,57,24,41,168,650,mathega01
Obi Toppin,23,NYK,PF,72,10,1230,251,473,52,169,199,304,0.586,94,124,69,199,268,77,25,33,56,102,648,toppiob01
Bruce Brown,25,BKN,SF,72,45,1774,256,506,38,94,218,412,0.543,97,128,100,245,345,148,77,52,56,176,647,brownbr01
Jaden McDaniels,21,MIN,PF,70,31,1803,255,554,80,252,175,302,0.532,57,71,76,217,293,79,52,54,75,224,647,mcdanja02
Pat Connaughton,29,MIL,SF,65,19,1691,227,496,146,370,81,126,0.605,45,54,45,228,273,82,59,15,35,86,645,connapa01
Naz Reid,22,MIN,C,77,6,1215,233,476,57,166,176,310,0.549,114,149,102,199,301,71,40,71,82,172,637,reidna01
