Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off., Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Bogdan Bogdanović,32,TOT,SG,54,4,1348,2.5,0.6,43,15,58,10,28,9,349,5,12,bogdabo01
Justin Champagnie,23,WAS,SF,62,31,1340,-9,4.8,31,14,59,3,32,4,145,10,22,champju01
Paul George,34,PHI,PF,41,41,1334,-3.6,4.2,59,29,42,12,44,7,435,11,20,georgpa01
Ausar Thompson,22,DET,SF,59,48,1328,4.3,3.5,38,28,58,8,62,21,330,9,42,thompau01
Donovan Clingan,20,POR,C,67,37,1324,-0.2,4.6,26,15,130,24,57,1,193,16,23,clingdo01
Jordan Hawkins,22,NOP,SG,56,9,1321,-12.5,-4.3,23,22,30,3,33,6,158,4,26,hawkijo01
Tyrese Martin,25,BKN,SG,60,11,1315,-9.9,-3.6,46,21,34,1,28,3,302,2,15,martity01
Mason Plumlee,34,PHX,C,74,21,1300,1.1,5.7,19,17,97,16,59,3,317,8,26,plumlma01
Jonathan Mogbo,23,TOR,PF,63,18,1286,-9.3,-7.3,38,17,75,9,44,5,346,12,31,mogbojo01
Jalen Johnson,23,ATL,SF,36,36,1284,1.4,3.8,66,15,34,11,64,5,426,18,39,johnsja05
Max Strus,28,CLE,SF,50,37,1273,8.9,-1.2,32,13,59,2,10,12,365,2,11,strusma01
Johnny Juzang,23,UTA,SG,64,18,1270,-13.2,-5.9,15,13,81,4,21,4,171,7,15,juzanjo01
Ron Holland,19,DET,SF,81,2,1266,-1,-4.4,26,29,67,8,66,13,208,18,23,hollaro01
Javonte Green,31,TOT,SG,68,19,1258,-7.3,-0.4,14,9,59,5,40,5,132,13,14,greenja02
Nick Richards,27,TOT,C,57,43,1256,-8.6,-4.5,24,25,83,24,76,9,120,16,51,richani01
Dean Wade,28,CLE,PF,59,30,1252,12.6,4.1,6,7,56,5,13,5,191,7,9,wadede01
Ricky Council IV,23,PHI,SF,73,12,1250,-5.7,1,21,16,31,8,77,5,239,16,25,councri01
Tidjane Salaün,19,CHA,PF,60,10,1244,-13.1,-5.4,19,21,44,10,39,7,179,6,29,salauti01
Bobby Portis,29,MIL,PF,49,7,1244,3,1.1,23,14,56,8,33,2,264,9,31,portibo01
Moussa Diabaté,23,CHA,C,71,8,1241,-3.4,8.6,25,18,49,9,51,7,142,12,24,diabamo01
Jeremiah Robinson-Earl,24,NOP,PF,66,9,1239,-12.3,-3.8,25,18,50,2,25,2,220,4,18,robinje02
Simone Fontecchio,29,DET,SF,75,0,1237,0.4,-2.3,25,21,52,2,36,10,168,9,18,fontesi01
