Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,playerID
Meyers Leonard,30,MIL,C,9,2,12.7,3.8,0.1,4.8,leoname01
Garrison Mathews,26,TOT,SG,54,0,12.7,1.4,0.5,4.8,mathega01
Moses Moody,20,GSW,SG,63,3,13,1.7,0.8,4.8,moodymo01
Christian Braun,21,DEN,SG,76,6,15.5,2.4,0.8,4.7,braunch01
Keon Johnson,20,POR,SG,40,0,10.4,1.1,1.5,4.7,johnske07
Chuma Okeke,24,ORL,SF,27,8,19.2,3.6,1.4,4.7,okekech01
Day'Ron Sharpe,21,BKN,C,48,3,11.5,4.2,0.8,4.7,sharpda01
Dean Wade,26,CLE,PF,44,13,20.3,3.4,0.8,4.7,wadede01
TyTy Washington Jr.,21,HOU,PG,31,2,14,1.5,1.5,4.7,washity02
Gary Payton II,30,TOT,SG,22,1,16.7,3.1,1.4,4.6,paytoga02
Dalano Banton,23,TOR,PG,31,2,9,1.5,1.2,4.6,bantoda01
Dāvis Bertāns,30,DAL,PF,45,1,10.9,1.2,0.5,4.6,bertada01
Malachi Flynn,24,TOR,PG,53,2,13,1.4,1.3,4.6,flynnma01
Kira Lewis Jr.,21,NOP,PG,25,0,9.4,1.3,0.9,4.6,lewiski01
Justin Holiday,33,TOT,SF,46,2,15.3,1.2,0.9,4.5,holidju01
Goga Bitadze,23,TOT,C,38,1,12,3.6,1,4.4,bitadgo01
Jarrett Culver,23,ATL,SF,10,1,13.7,3.8,0.6,4.4,culveja01
A.J. Green,23,MIL,SG,35,1,9.9,1.3,0.6,4.4,greenaj01
Haywood Highsmith,26,MIA,PF,54,11,17.9,3.5,0.8,4.4,highsha01
JaVale McGee,35,DAL,C,42,7,8.5,2.5,0.3,4.4,mcgeeja01
Thaddeus Young,34,TOR,PF,54,9,14.7,3.1,1.4,4.4,youngth01
Omer Yurtseven,24,MIA,C,9,0,9.2,2.6,0.2,4.4,yurtsom01
Moses Brown,23,TOT,C,36,1,8.2,3.9,0.1,4.3,brownmo01
Bismack Biyombo,30,PHX,C,61,14,14.3,4.3,0.9,4.3,biyombi01
Michael Carter-Williams,31,ORL,PG,4,0,11,1.3,1.8,4.3,cartemi01
Justin Minaya,23,POR,SF,4,0,22.3,3.8,1,4.3,minayju01
Xavier Sneed,25,CHA,SF,4,0,12,1.3,1.3,4.3,sneedxa01
Paul Reed,23,PHI,C,69,2,10.9,3.8,0.4,4.2,reedpa01
Admiral Schofield,25,ORL,PF,37,0,12.2,1.7,0.8,4.2,schofad01
Ish Wainright,28,PHX,SF,60,2,15.3,2.3,0.9,4.2,wainris01
