Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on 2P,FG% on  0-3,FG% on  3-10,FG% on  10-16,FG% on  16-3P,FG% on  3P,% of 2PFG assisted,% of 3PFG assited,%FGA that are dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Thaddeus Young,34,TOR,PF,54,9,795,0.545,0.828,0.364,0.409,0.04,0.015,0.172,0.622,0.806,0.494,0.25,0.667,0.176,0.549,1,0.051,10,0.706,0.208,youngth01
Bryce McGowens,20,CHA,SG,46,7,787,0.396,0.604,0.327,0.193,0.059,0.025,0.396,0.443,0.576,0.333,0.25,0,0.325,0.648,0.923,0.059,9,0.35,0.357,mcgowbr01
Josh Christopher,21,HOU,SG,64,2,786,0.465,0.729,0.222,0.289,0.188,0.03,0.271,0.55,0.685,0.537,0.452,0.3,0.236,0.348,0.762,0.082,24,0.191,0.235,chrisjo01
Robert Covington,32,LAC,PF,48,0,779,0.445,0.406,0.205,0.157,0.031,0.013,0.594,0.516,0.702,0.361,0.143,0.333,0.397,0.75,0.981,0.035,7,0.147,0.45,covinro01
Justise Winslow,26,POR,PF,29,11,776,0.409,0.773,0.348,0.288,0.106,0.03,0.227,0.438,0.551,0.386,0.286,0.167,0.311,0.567,1,0.02,3,0.444,0.3,winslju01
Mo Bamba,24,TOT,C,49,7,769,0.485,0.485,0.32,0.104,0.033,0.029,0.515,0.59,0.74,0.24,0.5,0.286,0.387,0.754,1,0.178,36,0.113,0.357,bambamo01
Simone Fontecchio,27,UTA,SF,52,6,766,0.369,0.388,0.106,0.157,0.067,0.058,0.612,0.43,0.545,0.327,0.524,0.389,0.33,0.731,0.952,0.042,10,0.225,0.395,fontesi01
Miles McBride,22,NYK,PG,64,2,760,0.358,0.377,0.153,0.079,0.079,0.065,0.623,0.457,0.636,0.294,0.353,0.357,0.299,0.541,0.875,0.028,4,0.373,0.4,mcbrimi01
Paul Reed,23,PHI,C,69,2,755,0.593,0.971,0.651,0.215,0.057,0.029,0.029,0.606,0.706,0.356,0.333,0.5,0.167,0.659,1,0.144,25,0.167,0,reedpa01
John Wall,32,LAC,PG,34,3,755,0.408,0.678,0.213,0.216,0.08,0.169,0.322,0.459,0.597,0.466,0.37,0.316,0.303,0.143,0.939,0.012,4,0.101,0.273,walljo01
R.J. Hampton,21,TOT,SG,47,3,750,0.43,0.511,0.156,0.211,0.089,0.038,0.489,0.504,0.676,0.44,0.476,0.222,0.353,0.41,0.805,0.025,6,0.25,0.448,hamptrj01
Edmond Sumner,27,BKN,SG,53,12,736,0.461,0.677,0.316,0.268,0.052,0.041,0.323,0.511,0.624,0.389,0.357,0.636,0.356,0.634,0.903,0.033,9,0.529,0.348,sumneed01
Zeke Nnaji,22,DEN,PF,53,5,728,0.561,0.668,0.52,0.138,0,0.01,0.332,0.71,0.794,0.407,0,0.5,0.262,0.72,1,0.168,32,0.369,0.25,nnajize01
Jaden Hardy,20,DAL,SG,48,5,708,0.438,0.532,0.279,0.138,0.057,0.057,0.468,0.469,0.548,0.435,0.263,0.368,0.404,0.422,0.825,0.024,7,0.231,0.472,hardyja02
Justin Holiday,33,TOT,SF,46,2,706,0.377,0.299,0.147,0.02,0.034,0.098,0.701,0.508,0.7,0.5,0.143,0.35,0.322,0.871,0.913,0.039,8,0.538,0.325,holidju01
MarJon Beauchamp,22,MIL,SF,52,11,701,0.395,0.416,0.21,0.095,0.041,0.07,0.584,0.485,0.667,0.261,0.5,0.235,0.331,0.551,0.872,0.058,13,0.387,0.345,beaucma01
Aleksej Pokusevski,21,OKC,PF,34,25,701,0.434,0.582,0.305,0.201,0.052,0.024,0.418,0.483,0.645,0.3,0.308,0.333,0.365,0.6,0.974,0.056,14,0.279,0.379,pokusal01
Juan Toscano-Anderson,29,TOT,SF,52,9,700,0.448,0.699,0.294,0.308,0.063,0.035,0.301,0.56,0.667,0.5,0.333,0.6,0.186,0.661,1,0.035,4,0.465,0.2,toscaju01
Malachi Flynn,24,TOR,PG,53,2,691,0.36,0.45,0.12,0.145,0.083,0.103,0.55,0.367,0.517,0.286,0.5,0.2,0.353,0.375,0.872,0,0,0.158,0.476,flynnma01
Duncan Robinson,28,MIA,SF,42,1,691,0.371,0.19,0.051,0.089,0.034,0.013,0.81,0.556,0.75,0.476,0.5,0.333,0.328,0.88,0.952,0,0,0.188,0.306,robindu01
Chimezie Metu,25,SAC,PF,66,0,689,0.589,0.826,0.466,0.274,0.055,0.014,0.174,0.663,0.804,0.483,0.25,0.667,0.237,0.75,1,0.32,62,0.079,0,metuch01
T.J. Warren,29,TOT,PF,42,0,687,0.489,0.752,0.156,0.252,0.237,0.107,0.248,0.542,0.714,0.471,0.484,0.586,0.328,0.664,0.955,0.019,5,0.403,0.296,warretj01
Garrison Mathews,26,TOT,SG,54,0,686,0.363,0.104,0.045,0.04,0.01,0.01,0.896,0.476,0.667,0.25,0.5,0.5,0.35,0.5,0.952,0.01,2,0.228,0.39,mathega01
Montrezl Harrell,29,PHI,C,57,7,681,0.598,0.971,0.627,0.297,0.043,0.005,0.029,0.616,0.71,0.5,0.111,0,0,0.656,0,0.263,48,0.167,0,harremo01
Jordan McLaughlin,26,MIN,PG,43,0,678,0.421,0.462,0.166,0.241,0.034,0.021,0.538,0.552,0.708,0.457,0.4,0.667,0.308,0.73,0.833,0,0,0.295,0.391,mclaujo01
Jae'Sean Tate,27,HOU,SF,31,7,677,0.48,0.799,0.306,0.437,0.044,0.013,0.201,0.53,0.614,0.5,0.3,0.333,0.283,0.351,0.923,0.009,1,0.348,0.313,tateja01
Blake Wesley,19,SAS,SG,37,1,669,0.321,0.758,0.279,0.233,0.126,0.121,0.242,0.301,0.517,0.14,0.222,0.192,0.385,0.306,0.95,0.065,12,0.269,0.5,weslebl01
Sandro Mamukelashvili,23,TOT,C,43,7,660,0.422,0.57,0.335,0.183,0.043,0.009,0.43,0.511,0.61,0.429,0.2,0,0.303,0.642,1,0.048,6,0.202,0.35,mamuksa01
Eugene Omoruyi,25,TOT,SF,40,6,645,0.443,0.61,0.404,0.18,0.013,0.013,0.39,0.547,0.707,0.244,0.333,0,0.281,0.618,1,0.053,11,0.472,0.333,omorueu01
Payton Pritchard,25,BOS,PG,48,3,643,0.412,0.371,0.159,0.118,0.033,0.053,0.629,0.495,0.615,0.414,0.375,0.385,0.364,0.422,0.857,0.004,0,0.182,0.321,pritcpa01
Amir Coffey,25,LAC,SF,50,9,625,0.386,0.724,0.172,0.366,0.124,0.062,0.276,0.429,0.6,0.377,0.389,0.333,0.275,0.6,1,0.041,5,0.45,0.222,coffeam01
Anthony Gill,30,WAS,PF,59,8,624,0.538,0.78,0.311,0.409,0.053,0.008,0.22,0.65,0.78,0.593,0.429,0,0.138,0.672,1,0.045,5,0.621,0.167,gillan01
Jabari Walker,20,POR,PF,56,0,619,0.419,0.717,0.404,0.197,0.071,0.045,0.283,0.472,0.6,0.256,0.357,0.444,0.286,0.716,0.938,0.116,19,0.232,0.154,walkeja01
