Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on 2P,FG% on  0-3,FG% on  3-10,FG% on  10-16,FG% on  16-3P,FG% on  3P,% of 2PFG assisted,% of 3PFG assited,%FGA that are dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Svi Mykhailiuk,25,TOT,SF,32,8,468,0.445,0.428,0.208,0.104,0.064,0.052,0.572,0.473,0.667,0.167,0.455,0.333,0.424,0.543,0.833,0.029,5,0.354,0.429,mykhasv01
Evan Fournier,30,NYK,SG,27,7,459,0.337,0.313,0.072,0.09,0.102,0.048,0.687,0.404,0.5,0.467,0.353,0.25,0.307,0.476,0.857,0,0,0.237,0.333,fournev01
Willy Hernangómez,28,NOP,C,38,2,458,0.527,0.935,0.503,0.379,0.036,0.018,0.065,0.544,0.635,0.453,0.5,0,0.273,0.709,1,0.101,15,0.273,0,hernawi01
Kevon Harris,25,ORL,SG,34,0,457,0.439,0.598,0.355,0.206,0.009,0.028,0.402,0.484,0.579,0.409,0,0,0.372,0.516,0.875,0.075,5,0.326,0.5,harrike01
Goga Bitadze,23,TOT,C,38,1,457,0.552,0.792,0.496,0.272,0.016,0.008,0.208,0.636,0.758,0.471,0,0,0.231,0.635,0.833,0.152,18,0.038,0,bitadgo01
Admiral Schofield,25,ORL,PF,37,0,451,0.451,0.393,0.221,0.164,0.008,0,0.607,0.646,0.704,0.6,0,0,0.324,0.645,0.958,0.008,0,0.351,0.385,schofad01
TyTy Washington Jr.,21,HOU,PG,31,2,433,0.363,0.5,0.056,0.213,0.181,0.05,0.5,0.488,0.444,0.5,0.517,0.375,0.238,0.436,0.789,0,0,0.238,0.316,washity02
Dewayne Dedmon,33,TOT,C,38,1,426,0.51,0.742,0.351,0.311,0.06,0.02,0.258,0.58,0.66,0.511,0.444,0.667,0.308,0.738,0.917,0.073,7,0.128,0.2,dedmode01
Orlando Robinson,22,MIA,C,31,1,425,0.528,0.933,0.416,0.472,0.034,0.011,0.067,0.566,0.757,0.452,0,0,0,0.574,0,0.09,6,0.5,0,robinor01
Johnny Davis,20,WAS,SG,28,5,423,0.386,0.591,0.14,0.187,0.164,0.099,0.409,0.485,0.708,0.438,0.393,0.412,0.243,0.633,1,0.012,2,0.271,0.263,davisjo06
Keon Johnson,20,POR,SG,40,0,416,0.376,0.545,0.208,0.197,0.073,0.067,0.455,0.402,0.649,0.257,0.231,0.25,0.346,0.308,0.607,0.028,5,0.333,0.259,johnske07
Jake LaRavia,21,MEM,PF,35,0,414,0.389,0.253,0.158,0.084,0.011,0,0.747,0.542,0.533,0.5,1,0,0.338,0.846,1,0.042,3,0.155,0.455,laravja01
Dominick Barlow,19,SAS,PF,28,0,408,0.535,0.953,0.523,0.256,0.14,0.035,0.047,0.561,0.711,0.409,0.25,0.667,0,0.739,0,0.151,12,0.75,0,barlodo01
Bruno Fernando,24,TOT,C,39,4,405,0.527,0.964,0.518,0.411,0.018,0.018,0.036,0.546,0.672,0.413,0,0.5,0,0.695,0,0.304,29,0.5,0,fernabr01
Cade Cunningham,21,DET,PG,12,12,400,0.415,0.728,0.183,0.223,0.147,0.174,0.272,0.466,0.561,0.42,0.394,0.487,0.279,0.158,0.588,0.013,3,0.066,0.25,cunnica01
Ish Smith,34,DEN,PG,43,0,398,0.397,0.908,0.115,0.16,0.275,0.359,0.092,0.42,0.533,0.524,0.333,0.404,0.167,0.26,1,0,0,0.167,0,smithis01
Duane Washington Jr.,22,PHX,SG,31,3,394,0.367,0.566,0.117,0.199,0.133,0.117,0.434,0.372,0.467,0.333,0.353,0.367,0.36,0.222,0.625,0,0,0.189,0.333,washidu02
Kessler Edwards,22,TOT,SF,36,4,385,0.387,0.409,0.204,0.118,0.022,0.065,0.591,0.5,0.737,0.182,1,0.167,0.309,0.632,1,0.054,5,0.382,0.333,edwarke02
Saben Lee,23,TOT,PG,25,1,373,0.405,0.752,0.43,0.248,0.025,0.05,0.248,0.418,0.538,0.233,0.667,0.167,0.367,0.263,0.818,0.05,3,0.3,0.444,leesa01
Gary Payton II,30,TOT,SG,22,1,367,0.594,0.623,0.449,0.159,0.014,0,0.377,0.651,0.677,0.636,0,0,0.5,0.714,1,0.087,3,0.769,0.55,paytoga02
Udoka Azubuike,23,UTA,C,36,4,359,0.819,1,0.625,0.375,0,0,0,0.819,0.956,0.593,0,0,0,0.864,0,0.625,42,0,0,azubuud01
Gorgui Dieng,33,SAS,C,31,1,358,0.385,0.359,0.137,0.06,0.111,0.051,0.641,0.571,0.75,0.429,0.462,0.5,0.28,0.667,0.905,0.051,6,0.093,0.429,dienggo01
JaVale McGee,35,DAL,C,42,7,355,0.64,0.96,0.56,0.368,0.032,0,0.04,0.65,0.814,0.413,0.5,0,0.4,0.808,1,0.296,34,0,0,mcgeeja01
Markieff Morris,33,TOT,PF,35,2,355,0.409,0.383,0.061,0.087,0.157,0.078,0.617,0.432,0.571,0.2,0.556,0.333,0.394,0.737,1,0.009,1,0.31,0.409,morrima02
Furkan Korkmaz,25,PHI,SG,37,0,353,0.432,0.586,0.198,0.243,0.072,0.072,0.414,0.462,0.818,0.222,0.5,0.25,0.391,0.567,0.889,0.027,3,0.326,0.333,korkmfu01
Richaun Holmes,29,SAC,C,42,1,348,0.618,0.91,0.438,0.337,0.135,0,0.09,0.617,0.744,0.533,0.417,0,0.625,0.78,1,0.191,14,0.125,1,holmeri01
A.J. Green,23,MIL,SG,35,1,345,0.424,0.16,0.04,0.016,0.032,0.072,0.84,0.45,0.4,0.5,0.5,0.444,0.419,0.778,0.909,0,0,0.21,0.409,greenaj01
Davon Reed,27,TOT,SG,43,1,342,0.333,0.452,0.095,0.131,0.095,0.131,0.548,0.289,0.375,0.182,0.125,0.455,0.37,0.455,0.941,0.024,1,0.304,0.357,reedda01
Jae Crowder,32,MIL,PF,18,3,340,0.479,0.415,0.074,0.16,0.128,0.053,0.585,0.538,0.857,0.6,0.333,0.4,0.436,0.714,1,0.011,1,0.273,0.467,crowdja01
Derrick Rose,34,NYK,PG,27,0,338,0.384,0.604,0.189,0.258,0.094,0.063,0.396,0.438,0.567,0.366,0.467,0.3,0.302,0.333,0.737,0,0,0.19,0.333,rosede01
McKinley Wright IV,24,DAL,PG,27,1,335,0.469,0.714,0.224,0.265,0.153,0.071,0.286,0.529,0.591,0.615,0.4,0.286,0.321,0.297,0.889,0,0,0.25,0.286,wrighmc01
Theo Pinson,27,DAL,SG,40,1,323,0.356,0.287,0.126,0.126,0.023,0.011,0.713,0.36,0.364,0.364,0.5,0,0.355,0.778,0.818,0.023,1,0.145,0.556,pinsoth01
Julian Champagnie,21,TOT,SF,17,3,320,0.454,0.369,0.169,0.123,0.031,0.046,0.631,0.542,0.636,0.438,0.5,0.5,0.402,0.846,1,0.031,3,0.256,0.429,champju02
Matt Ryan,25,TOT,SF,34,0,310,0.37,0.222,0.046,0.046,0.009,0.12,0.778,0.333,0.8,0.2,0,0.231,0.381,0.75,1,0,0,0.345,0.552,ryanma01
Robin Lopez,34,CLE,C,37,2,299,0.64,0.947,0.307,0.587,0.013,0.04,0.053,0.648,0.826,0.545,1,0.667,0.5,0.457,1,0.027,2,0.25,1,lopezro01
Moses Brown,23,TOT,C,36,1,294,0.635,1,0.729,0.26,0.01,0,0,0.635,0.7,0.48,0,0,0,0.607,0,0.469,37,0,0,brownmo01
Nathan Knight,25,MIN,C,38,0,291,0.568,0.728,0.444,0.272,0.012,0,0.272,0.644,0.778,0.455,0,0,0.364,0.553,1,0.185,13,0.273,0.333,knighna01
Kennedy Chandler,20,MEM,PG,36,0,281,0.422,0.819,0.361,0.361,0.072,0.024,0.181,0.485,0.633,0.367,0.333,0.5,0.133,0.424,1,0.048,2,0.133,0,chandke01
Dalano Banton,23,TOR,PG,31,2,279,0.423,0.608,0.277,0.177,0.077,0.077,0.392,0.506,0.806,0.348,0.2,0.1,0.294,0.575,0.867,0.062,8,0.235,0.25,bantoda01
Trent Forrest,24,ATL,SG,23,3,277,0.417,0.967,0.25,0.617,0.1,0,0.033,0.431,0.333,0.459,0.5,0,0,0.4,0,0.017,1,0.5,0,forretr01
Bryn Forbes,29,MIN,SG,25,0,268,0.361,0.446,0.06,0.181,0.072,0.133,0.554,0.432,0.6,0.4,0.167,0.545,0.304,0.813,0.857,0,0,0.261,0.417,forbebr01
Terry Taylor,23,TOT,PF,31,2,264,0.52,0.747,0.453,0.24,0.04,0.013,0.253,0.607,0.765,0.389,0.333,0,0.263,0.618,1,0.053,4,0.421,0.25,taylote01
Jeff Dowtin Jr.,25,TOR,PG,25,0,259,0.439,0.719,0.175,0.263,0.123,0.158,0.281,0.488,0.7,0.6,0,0.444,0.313,0.45,0.8,0.035,2,0.5,0.375,dowtije01
KZ Okpala,23,SAC,PF,35,3,248,0.421,0.447,0.158,0.237,0.026,0.026,0.553,0.529,0.833,0.333,0,1,0.333,0.667,1,0.053,2,0.524,0.455,okpalkz01
Brandon Boston Jr.,21,LAC,SF,22,1,248,0.418,0.762,0.238,0.213,0.164,0.148,0.238,0.419,0.724,0.154,0.4,0.333,0.414,0.538,0.583,0.09,9,0.172,0.2,bostobr01
Luka Garza,24,MIN,C,28,0,243,0.543,0.664,0.345,0.25,0.06,0.009,0.336,0.636,0.825,0.414,0.571,0,0.359,0.51,1,0.017,2,0.077,0.333,garzalu01
Jamal Cain,23,MIA,PF,18,0,240,0.561,0.697,0.394,0.258,0.045,0,0.303,0.652,0.731,0.588,0.333,0,0.35,0.533,1,0.045,3,0.55,0.273,cainja01
Kira Lewis Jr.,21,NOP,PG,25,0,235,0.455,0.614,0.227,0.17,0.08,0.091,0.386,0.463,0.55,0.4,0.286,0.625,0.441,0.36,0.867,0.011,0,0.176,0.667,lewiski01
Frank Kaminsky,29,TOT,C,36,0,235,0.492,0.476,0.206,0.175,0.063,0.032,0.524,0.6,0.846,0.364,0.5,0.5,0.394,0.889,1,0.032,2,0.091,0,kaminfr01
Johnny Juzang,21,UTA,SG,18,0,232,0.337,0.394,0.058,0.163,0.077,0.096,0.606,0.488,0.833,0.471,0.25,0.5,0.238,0.55,0.867,0,0,0.27,0.235,juzanjo01
David Duke Jr.,23,BKN,SG,23,0,228,0.462,0.846,0.487,0.269,0.064,0.026,0.154,0.53,0.605,0.429,0.2,1,0.083,0.543,1,0.051,3,0.5,0,dukeda01
Patrick Baldwin Jr.,20,GSW,SF,31,0,226,0.394,0.229,0.073,0.083,0.055,0.018,0.771,0.44,0.875,0.333,0,0.5,0.381,0.818,1,0.037,3,0.214,0.278,baldwpa01
John Butler,20,POR,C,19,1,221,0.321,0.34,0.151,0.094,0.057,0.038,0.66,0.5,0.625,0.6,0,0.5,0.229,0.889,1,0.038,2,0.143,0.2,butlejo01
Cody Zeller,30,MIA,C,15,2,217,0.627,0.966,0.576,0.237,0.051,0.034,0.034,0.649,0.735,0.571,1,0,0,0.838,0,0.153,8,0.5,0,zelleco01
Dalen Terry,20,CHI,SG,38,0,214,0.444,0.625,0.431,0.139,0,0.056,0.375,0.556,0.581,0.5,0,0.5,0.259,0.32,0.714,0.042,1,0.444,0.25,terryda01
Matthew Dellavedova,32,SAC,PG,32,0,213,0.34,0.46,0.08,0.2,0.12,0.04,0.54,0.348,0.75,0.3,0.167,0.5,0.333,0.25,0.778,0,0,0.148,0.5,dellama01
Thanasis Antetokounmpo,30,MIL,PF,37,0,206,0.435,0.826,0.478,0.304,0.022,0.022,0.174,0.526,0.682,0.357,0,0,0,0.65,0,0.13,6,0.375,0,antetth01
Nikola Jović,19,MIA,PF,15,8,204,0.406,0.493,0.188,0.159,0.087,0.058,0.507,0.588,0.846,0.455,0.333,0.5,0.229,0.85,1,0.014,1,0.286,0.3,jovicni01
Jared Rhoden,23,DET,SG,14,0,198,0.386,0.545,0.159,0.205,0.091,0.045,0.455,0.5,0.571,0.333,0.75,0,0.25,0.583,1,0.045,2,0.4,0.375,rhodeja01
Moussa Diabaté,21,LAC,C,22,1,195,0.511,0.957,0.574,0.34,0.043,0,0.043,0.511,0.556,0.5,0,0,0.5,0.478,1,0.149,7,1,0.5,diabamo01
Nerlens Noel,28,TOT,C,17,4,195,0.361,0.944,0.25,0.25,0.306,0.139,0.056,0.353,0.444,0.222,0.364,0.4,0.5,0.833,1,0.028,0,0,0,noelne01
Skylar Mays,25,POR,PG,6,6,189,0.5,0.618,0.265,0.088,0.162,0.103,0.382,0.524,0.611,0.167,0.636,0.429,0.462,0.227,0.75,0,0,0.154,0.25,mayssk01
Peyton Watson,20,DEN,SG,23,2,186,0.492,0.763,0.305,0.39,0.068,0,0.237,0.511,0.722,0.348,0.5,0,0.429,0.652,1,0.119,6,0.429,0.5,watsope01
Serge Ibaka,33,MIL,C,16,0,185,0.481,0.667,0.333,0.185,0.074,0.074,0.333,0.556,0.778,0.4,0,0.5,0.333,0.55,1,0.148,7,0.111,0.5,ibakase01
Kenneth Lofton Jr.,20,MEM,PF,24,1,176,0.527,0.817,0.473,0.108,0.151,0.086,0.183,0.566,0.795,0.4,0.214,0.125,0.353,0.535,1,0.054,5,0.176,0.333,loftoke01
Mamadi Diakite,26,CLE,C,22,2,176,0.48,0.58,0.24,0.2,0.12,0.02,0.42,0.586,0.833,0.4,0.333,1,0.333,0.824,0.857,0.08,4,0.429,0.222,diakima01
Ryan Arcidiacono,28,TOT,PG,20,4,172,0.243,0.378,0.027,0.189,0.108,0.054,0.622,0.071,0,0.143,0,0,0.348,1,0.875,0,0,0.043,0,arcidry01
Boban Marjanović,34,HOU,C,31,0,171,0.683,0.983,0.4,0.483,0.1,0,0.017,0.695,0.833,0.586,0.667,0,0,0.561,0,0.1,6,0,0,marjabo01
Noah Vonleh,27,BOS,C,23,1,171,0.458,0.833,0.458,0.292,0.083,0,0.167,0.5,0.727,0.143,0.5,0,0.25,0.2,1,0.208,5,0.75,0.333,vonleno01
Vít Krejčí,22,ATL,PG,29,0,165,0.405,0.432,0.297,0.081,0.027,0.027,0.568,0.625,0.636,0.667,0,1,0.238,0.6,0.6,0.054,2,0.19,0.5,krejcvi01
Garrett Temple,36,NOP,SG,25,0,162,0.4,0.422,0.311,0.022,0.044,0.044,0.578,0.368,0.5,0,0,0,0.423,0.429,1,0,0,0.231,0.333,templga01
Khem Birch,30,TOR,C,20,0,162,0.594,0.938,0.375,0.469,0.063,0.031,0.063,0.6,0.833,0.467,0.5,0,0.5,0.944,1,0.25,8,1,0.5,birchkh01
James Johnson,35,IND,PF,18,1,162,0.449,0.694,0.388,0.204,0.041,0.061,0.306,0.559,0.632,0.4,0.5,0.667,0.2,0.421,1,0.082,4,0.533,0.125,johnsja01
Alex Len,29,SAC,C,26,2,161,0.533,0.933,0.633,0.133,0.1,0.067,0.067,0.571,0.737,0,0.667,0,0,0.563,0,0.2,6,0,0,lenal01
Luka Šamanić,23,UTA,PF,7,4,161,0.456,0.456,0.246,0.175,0.018,0.018,0.544,0.692,0.786,0.7,0,0,0.258,0.778,1,0.088,5,0.226,0.286,samanlu01
Dru Smith,25,TOT,SG,15,1,158,0.4,0.578,0.178,0.2,0.178,0.022,0.422,0.5,0.5,0.556,0.5,0,0.263,0.308,1,0,0,0.368,0.429,smithdr01
Wendell Moore Jr.,21,MIN,SG,29,2,153,0.419,0.605,0.419,0.116,0.047,0.023,0.395,0.615,0.778,0.4,0,0,0.118,0.438,1,0,0,0.412,0.143,moorewe01
Otto Porter Jr.,29,TOR,SF,8,2,146,0.5,0.433,0.133,0.1,0.033,0.167,0.567,0.692,1,1,0,0.4,0.353,0.556,1,0,0,0.235,0.25,porteot01
Kemba Walker,32,DAL,PG,9,1,144,0.421,0.509,0.211,0.123,0.088,0.088,0.491,0.586,0.583,0.571,0.6,0.6,0.25,0.176,0.429,0,0,0.071,0,walkeke02
Danny Green,35,TOT,SG,11,0,138,0.449,0.245,0.041,0.061,0.122,0.02,0.755,0.5,0.5,0.333,0.5,1,0.432,0.667,1,0,0,0.324,0.417,greenda02
Jarrett Culver,23,ATL,SF,10,1,137,0.395,0.721,0.395,0.14,0.047,0.14,0.279,0.516,0.647,0.333,0.5,0.333,0.083,0.375,1,0.047,2,0.25,0.333,culveja01
Quenton Jackson,24,WAS,PG,9,0,135,0.452,0.714,0.381,0.238,0.024,0.071,0.286,0.6,0.563,0.6,1,0.667,0.083,0.5,1,0.095,2,0.167,0,jacksqu01
Cody Martin,27,CHA,SF,7,0,134,0.389,0.611,0.361,0.083,0.083,0.083,0.389,0.5,0.615,0.333,0.333,0.333,0.214,0.545,1,0.083,2,0.429,0.5,martico01
Nate Williams,23,POR,SG,5,4,127,0.615,0.795,0.615,0.154,0,0.026,0.205,0.677,0.792,0.333,0,0,0.375,0.667,1,0.154,6,0.5,0.5,willije02
Xavier Cooks,27,WAS,PF,10,1,126,0.607,0.964,0.393,0.536,0.036,0,0.036,0.63,0.727,0.533,1,0,0,0.647,0,0.107,3,0,0,cooksxa01
Jason Preston,23,LAC,PG,14,0,124,0.439,0.561,0.122,0.293,0.122,0.024,0.439,0.565,0.8,0.417,0.6,1,0.278,0.308,0.6,0,0,0.222,0.5,prestja01
Jonathan Isaac,25,ORL,PF,11,0,124,0.415,0.717,0.321,0.189,0.113,0.094,0.283,0.421,0.588,0.1,0.5,0.4,0.4,0.5,1,0.113,5,0.267,0.75,isaacjo01
Shaquille Harrison,29,POR,SG,5,0,120,0.417,0.722,0.444,0.111,0.083,0.083,0.278,0.462,0.5,0.5,0.333,0.333,0.3,0.5,1,0.028,1,0.1,1,harrish01
Meyers Leonard,30,MIL,C,9,2,114,0.483,0.379,0.276,0.069,0,0.034,0.621,0.636,0.625,1,0,0,0.389,0.857,1,0.103,2,0.167,0,leoname01
Olivier Sarr,23,OKC,C,9,1,114,0.5,0.733,0.6,0.1,0.033,0,0.267,0.636,0.611,0.667,1,0,0.125,0.929,1,0.4,10,0.125,0,sarrol01
Andre Iguodala,39,GSW,PF,8,0,113,0.467,0.4,0.267,0.133,0,0,0.6,1,1,1,0,0,0.111,0.667,1,0.267,4,0.222,0,iguodan01
Daniel Theis,30,IND,C,7,1,109,0.477,0.75,0.409,0.205,0.136,0,0.25,0.576,0.611,0.667,0.333,0,0.182,0.947,1,0.136,6,0.182,0.5,theisda01
A.J. Lawson,22,TOT,SG,15,0,108,0.5,0.432,0.318,0.114,0,0,0.568,0.632,0.714,0.4,0,0,0.4,0.5,1,0.136,5,0.56,0.214,lawsoaj01
Justin Jackson,27,BOS,SF,23,0,107,0.259,0.259,0.074,0.074,0.074,0.037,0.741,0.286,0.5,0,0.5,0,0.25,0.5,0.8,0,0,0.3,0.167,jacksju01
Vince Williams Jr.,22,MEM,SG,15,1,105,0.3,0.3,0.25,0.05,0,0,0.7,0.667,0.7,0.5,0,0,0.143,0.75,1,0,0,0.393,0.091,willivi01
Josh Minott,20,MIN,SF,15,0,96,0.5,0.833,0.389,0.417,0.028,0,0.167,0.533,0.714,0.4,0,0,0.333,0.75,1,0.278,10,0.5,0.333,minotjo01
Jay Huff,24,WAS,C,7,0,95,0.6,0.52,0.32,0.08,0.08,0.04,0.48,0.692,0.875,0.5,0,1,0.5,1,1,0.16,4,0.083,0,huffja01
Greg Brown III,21,POR,PF,16,0,93,0.393,0.75,0.536,0.143,0,0.071,0.25,0.476,0.667,0,0,0,0.143,0.9,1,0.25,6,0.429,0.333,browngr01
Joshua Primo,20,SAS,SG,4,0,93,0.346,0.538,0.038,0.308,0.115,0.077,0.462,0.429,1,0.375,0.333,0.5,0.25,0.333,0.667,0.077,1,0.25,0.333,primojo01
Buddy Boeheim,23,DET,SF,10,0,90,0.185,0.074,0,0.037,0.037,0,0.926,0.5,0,1,0,0,0.16,0,1,0,0,0.44,0.273,boehebu01
Jaden Springer,20,PHI,SG,16,2,89,0.486,0.857,0.343,0.257,0.2,0.057,0.143,0.5,0.75,0.444,0.286,0,0.4,0.333,0.5,0.086,3,0.4,0,sprinja01
Justin Minaya,23,POR,SF,4,0,89,0.304,0.478,0.217,0.087,0.13,0.043,0.522,0.364,0.6,0,0.333,0,0.25,0.5,1,0,0,0.25,0,minayju01
Lindell Wigginton,24,MIL,PG,7,1,87,0.486,0.514,0.189,0.189,0.054,0.081,0.486,0.632,0.857,0.429,0.5,0.667,0.333,0.083,1,0,0,0.111,0.5,wiggili01
Isaiah Mobley,23,CLE,PF,12,0,84,0.429,0.714,0.286,0.357,0.036,0.036,0.286,0.45,0.5,0.4,1,0,0.375,0.444,1,0.036,1,0.125,1,mobleis01
Jordan Hall,21,SAS,SF,9,0,83,0.321,0.464,0.143,0.036,0.107,0.179,0.536,0.462,0.75,0,0.333,0.4,0.2,0.5,1,0.036,0,0.267,0.25,halljo02
Omer Yurtseven,24,MIA,C,9,0,83,0.593,0.741,0.222,0.444,0.074,0,0.259,0.65,0.667,0.667,0.5,0,0.429,0.692,1,0.074,1,0.571,0.5,yurtsom01
PJ Dozier,26,SAC,SF,16,0,79,0.303,0.515,0.152,0.091,0.121,0.152,0.485,0.471,0.8,0.333,0,0.6,0.125,0.375,1,0,0,0.313,0.2,doziepj01
Jared Butler,22,OKC,PG,6,1,77,0.469,0.563,0.188,0.344,0.031,0,0.438,0.444,0.333,0.545,0,0,0.5,0.375,0.857,0,0,0.071,0,butleja02
Keon Ellis,23,SAC,SG,16,0,71,0.438,0.25,0,0.125,0.063,0.063,0.75,0.25,0,0.5,0,0,0.5,1,0.667,0,0,0.167,0.5,elliske01
Udonis Haslem,42,MIA,C,7,1,71,0.345,0.69,0.138,0.103,0.31,0.138,0.31,0.35,0.25,0.333,0.556,0,0.333,0.714,1,0.034,1,0.444,0.25,hasleud01
Jamaree Bouyea,23,TOT,PG,5,0,71,0.429,0.571,0.143,0.357,0,0.071,0.429,0.5,1,0.4,0,0,0.333,0.5,0.5,0,0,0,0,bouyeja01
Trevelin Queen,25,IND,SG,7,0,70,0.241,0.483,0.31,0.138,0,0.034,0.517,0.357,0.556,0,0,0,0.133,0.6,1,0.034,0,0.133,0.5,queentr01
Leandro Bolmaro,22,UTA,SF,14,0,68,0.15,0.8,0.25,0.35,0.1,0.1,0.2,0.188,0.2,0.143,0.5,0,0,0,0,0,0,0,0,bolmale01
Jack White,25,DEN,SF,17,0,66,0.421,0.526,0.316,0.211,0,0,0.474,0.5,0.5,0.5,0,0,0.333,0.4,1,0.105,2,0.667,0.333,whiteja03
Tyrese Martin,23,ATL,SG,16,0,66,0.391,0.696,0.261,0.217,0.13,0.087,0.304,0.5,0.667,0.4,0.333,0.5,0.143,0.75,1,0.087,2,0.429,0,martity01
JD Davison,20,BOS,SG,12,0,66,0.421,0.632,0.053,0.211,0.316,0.053,0.368,0.5,1,0.5,0.333,1,0.286,0.5,1,0,0,0,0,davisjd01
Ryan Rollins,20,GSW,PG,12,0,62,0.35,0.55,0.35,0.15,0.05,0,0.45,0.364,0.429,0.333,0,0,0.333,0.25,0.667,0,0,0.556,0.2,rolliry01
Isaiah Todd,21,WAS,PF,6,1,61,0.158,0.474,0.053,0.368,0,0.053,0.526,0.222,0,0.286,0,0,0.1,1,1,0.053,0,0.2,0,toddis01
Sam Merrill,26,CLE,SG,5,0,59,0.409,0.182,0.091,0.045,0,0.045,0.818,1,1,1,0,1,0.278,1,1,0,0,0.056,0,merrisa01
Carlik Jones,25,CHI,PG,7,0,56,0.4,0.6,0.133,0.267,0,0.2,0.4,0.333,0.5,0.25,0,0.333,0.5,0,1,0,0,0,0,jonesca03
Gabe York,29,IND,SG,3,0,56,0.381,0.143,0.143,0,0,0,0.857,0.667,0.667,0,0,0,0.333,0.5,1,0,0,0.278,0.6,yorkga01
Devon Dotson,23,WAS,PG,6,0,53,0.1,0.6,0,0.3,0.1,0.2,0.4,0,0,0,0,0,0.25,0,1,0,0,0.25,0,dotsode01
Facundo Campazzo,31,DAL,PG,8,0,52,0.231,0.154,0.077,0.077,0,0,0.846,0,0,0,0,0,0.273,0,0.667,0,0,0.091,1,campafa01
Micah Potter,24,UTA,PF,7,0,52,0.667,0.533,0.2,0.333,0,0,0.467,0.75,1,0.6,0,0,0.571,0.667,1,0.133,2,0.143,1,pottemi01
Joe Wieskamp,23,TOR,SF,9,0,50,0.214,0.143,0.143,0,0,0,0.857,0,0,0,0,0,0.25,0,1,0,0,0.583,0.286,wieskjo01
Ron Harper Jr.,22,TOR,PF,9,0,48,0.5,0.438,0.188,0.25,0,0,0.563,0.714,0.667,0.75,0,0,0.333,0.6,1,0,0,0.444,0.5,harpero02
Xavier Sneed,25,CHA,SF,4,0,48,0.5,0.4,0.2,0.1,0.1,0,0.6,0.5,1,0,0,0,0.5,1,1,0.1,1,0.167,1,sneedxa01
Michael Carter-Williams,31,ORL,PG,4,0,44,0.429,0.786,0.143,0.5,0.143,0,0.214,0.455,1,0.429,0,0,0.333,0,1,0,0,0.333,0,cartemi01
Cole Swider,23,LAL,SF,7,0,41,0.333,0.111,0,0,0.111,0,0.889,0,0,0,0,0,0.375,0,1,0,0,0.25,1,swideco01
Mac McClung,24,PHI,SG,2,0,41,0.45,0.45,0.3,0.1,0,0.05,0.55,0.556,0.667,0.5,0,0,0.364,0.6,0.75,0.1,2,0.364,0.25,mccluma01
Jacob Gilyard,24,MEM,PG,1,0,41,0.333,0,0,0,0,0,1,0,0,0,0,0,0.333,0,1,0,0,0.333,0,gilyaja01
Kendall Brown,19,IND,SG,6,0,40,0.571,0.857,0.429,0.286,0.143,0,0.143,0.667,1,0,1,0,0,0.25,0,0.286,2,1,0,brownke03
Jarrell Brantley,26,UTA,PF,4,0,39,0.571,0.357,0.071,0.286,0,0,0.643,0.8,1,0.75,0,0,0.444,0.25,1,0,0,0.333,0.333,brantja01
Mfiondu Kabengele,25,BOS,PF,4,0,36,0.286,0.571,0.429,0.143,0,0,0.429,0.5,0.667,0,0,0,0,0.5,0,0.429,2,0.333,0,kabenmf01
RaiQuan Gray,23,BKN,PF,1,0,35,0.5,0.583,0.5,0.083,0,0,0.417,0.571,0.667,0,0,0,0.4,1,1,0,0,0.4,0,grayra01
Justin Champagnie,21,TOT,SF,5,0,34,0.333,0.667,0.133,0.533,0,0,0.333,0.4,0.5,0.375,0,0,0.2,0.5,1,0,0,0.4,0,champju01
Tony Bradley,25,CHI,C,12,0,33,0.5,0.583,0.333,0.083,0.167,0,0.417,0.429,0.75,0,0,0,0.6,0.667,1,0.083,1,0.8,0.5,bradlto01
Scotty Pippen Jr.,22,LAL,PG,6,0,32,0.333,0.75,0.167,0.333,0.167,0.083,0.25,0.333,0.5,0.5,0,0,0.333,0.333,0,0,0,0.333,0,pippesc02
Alize Johnson,26,SAS,PF,4,0,30,0.5,0.667,0.667,0,0,0,0.333,0.75,0.75,0,0,0,0,0.333,0,0,0,0.5,0,johnsal02
Jay Scrubb,22,ORL,SG,2,0,30,0.714,0.714,0.429,0.286,0,0,0.286,0.6,0.667,0.5,0,0,1,0.333,0.5,0.143,1,0.5,1,scrubja01
Neemias Queta,23,SAC,C,5,0,29,0.667,1,0.444,0.556,0,0,0,0.667,0.75,0.6,0,0,0,0.833,0,0.444,4,0,0,quetane01
Louis King,23,PHI,PF,1,0,29,0.615,0.385,0.154,0.154,0,0.077,0.615,0.8,1,0.5,0,1,0.5,0.5,0.75,0,0,0.125,1,kinglo02
Vernon Carey Jr.,21,WAS,C,11,0,28,0.25,1,0.375,0.25,0.125,0.25,0,0.25,0.667,0,0,0,0,0.5,0,0.125,1,0,0,careyve01
Trevor Hudgins,23,HOU,PG,5,0,28,0.222,0.111,0,0.111,0,0,0.889,0,0,0,0,0,0.25,0,1,0,0,0,0,hudgitr01
